image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_8_entropy,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_12_entropy
12,Object Identification,What sport equipment is shown?,tennis racket,http://images.cocodataset.org/val2017/000000018737.jpg,5,76,0.9925070163928446,-0.5178846120834351,Motor,5,302.0,0.0028379429779660003,17.0,0.002810739814343499,21.0,0.002961145006705563,15.0,0.002805845728901667,0.9800935182008503,0.9256134079485958,0.9363346784550166,0.9654013672997089,76.0,0.0029932847758651153,,,,,,,0.9535971236309873,,,,,,,,,,,,,,,,,,
13,Object Counting,How many vehicles are parked?,2,http://images.cocodataset.org/val2017/000000109798.jpg,4,270,0.9985495571651022,-0.11452944576740265,,4,15.0,0.001954695467218149,23.0,0.0019361941877652413,31.0,0.0019494870706092417,98.0,0.0019619742737440496,0.8830374409547587,0.9512875620837767,0.9433301894708143,0.9807518791918624,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Object Identification,What is the person riding?,surfboard,http://images.cocodataset.org/val2017/000000361268.jpg,0,321,0.9980052863248483,-1.7870800495147705,Car,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Color Recognition,What color is the umbrella?,red,http://images.cocodataset.org/val2017/000000285894.jpg,4,224,0.9947673370373217,-0.8105772733688354,Black,4,17.0,0.002687824759279851,17.0,0.0025053158989577044,53.0,0.0029409296581271753,49.0,0.002409384638317237,0.9770358764490155,0.9519839065438831,0.9883760006002896,0.9667512657256949,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Color Recognition,What color is the bus?,red,http://images.cocodataset.org/val2017/000000109798.jpg,2,243,0.8943200512734965,-1.0215301513671875,Brown,2,35.0,0.009903977246450962,16.0,0.017880527391269153,,,,,0.9734984015512516,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Attribute Recognition,Is the cat sitting or standing?,sitting,http://images.cocodataset.org/val2017/000000039769.jpg,3,249,0.9959740212070592,-1.0460854768753052,The,3,16.0,0.002856414585013511,28.0,0.0024541349319104878,80.0,0.0024585810640028764,,,1.0,0.9626529871527121,0.9771873476487188,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Attribute Recognition,Is the laptop open or closed?,open,http://images.cocodataset.org/val2017/000000231339.jpg,3,218,0.9750978584421596,-0.8576808571815491,Cl,3,15.0,0.005467992340060721,25.0,0.00972769293623612,21.0,0.00983145453917618,,,0.9473080736174851,0.8845112106481056,0.866777537176124,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Material Recognition,What material is the table made of?,wood,http://images.cocodataset.org/val2017/000000087038.jpg,0,346,0.9975124318302697,-0.7727022171020508,Wood,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Attribute Recognition,Is the dog standing or lying down?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,3,100,0.9976786269384514,-0.9240835309028625,Stand,3,86.0,0.0019368969475692746,53.0,0.0019350449500199992,268.0,0.0019322658282545733,,,0.9805095936837738,0.9716556095638151,0.9817844375718277,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Size Comparison,"Which is larger, the refrigerator or the microwave?",refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,8,192,0.9968701801413244,-0.5223316550254822,Re,8,16.0,0.0022781110960633276,24.0,0.002306107657952485,20.0,0.002328380006441204,45.0,0.002384294908070022,0.9401204074720739,0.9296487541666036,0.906015005671138,0.9669561393130619,52.0,0.002359546082743278,21.0,0.002333699227129513,15.0,0.0022507447655503872,5.0,0.0021082919280578268,0.9696606468839907,0.9529073308031801,0.9446232142545791,0.9709505944546686,,,,,,,,,,,,,,,
23,Color Recognition,What color are the traffic lights?,red,http://images.cocodataset.org/val2017/000000138819.jpg,6,216,0.9877101758950722,-0.8728827238082886,Green,6,23.0,0.0028188169658164073,16.0,0.002862946677919897,9.0,0.0025145835555026243,18.0,0.002692436593964039,0.9443479439410534,0.949701216438411,1.0,0.9579945435450241,41.0,0.0026224292826195323,21.0,0.002997582691419954,,,,,0.9680170918137623,0.8751124386426177,,,,,,,,,,,,,,,,,
24,Attribute Recognition,Is the bed made or unmade?,unmade,http://images.cocodataset.org/val2017/000000356347.jpg,5,204,0.9917354778921279,-0.9430472254753113,Un,5,128.0,0.002429616146028494,38.0,0.0023764196352786286,19.0,0.002340034677891809,15.0,0.0023039476145633314,0.989278589597479,0.959933017811093,0.9732425514710831,0.9613833012053531,8.0,0.0023374326265837727,,,,,,,1.0,,,,,,,,,,,,,,,,,,
25,Color Recognition,What color is the skateboard?,black,http://images.cocodataset.org/val2017/000000502136.jpg,6,322,0.9976200952648789,-1.3833051919937134,Black,6,16.0,0.0020937130196458467,16.0,0.002035048559355042,23.0,0.0020947515795518576,22.0,0.002101968483345613,0.9755307720176266,0.9886085007312413,0.9092514936535562,0.9645454255594046,36.0,0.0021393784418211473,28.0,0.0020908048699523024,,,,,0.9425338544121029,0.9894065290848516,,,,,,,,,,,,,,,,,
26,Attribute Recognition,Is the door open or closed?,closed,http://images.cocodataset.org/val2017/000000322864.jpg,6,150,0.9827937542514334,-1.3346036672592163,Open,6,200.0,0.004223558735748183,15.0,0.0030202514719627612,8.0,0.0035933660740798718,27.0,0.003620749605786833,0.9797677981868919,0.9473080736174853,0.954434002924965,0.9595229267574499,21.0,0.004309449944439774,20.0,0.004223125506153223,,,,,0.9566859396996199,0.9630603734213402,,,,,,,,,,,,,,,,,
27,Spatial Reasoning,Is the laptop to the left or right of the mouse?,left,http://images.cocodataset.org/val2017/000000459467.jpg,3,285,0.9983309305591771,-1.1595284938812256,Left,3,44.0,0.0020441463539014834,35.0,0.002024057865144506,16.0,0.002224555734391809,,,0.9815679776264993,0.9882016177533784,0.8620485698650454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spatial Reasoning,Where is the clock located?,on wall,http://images.cocodataset.org/val2017/000000481390.jpg,10,256,0.9958092310651123,-2.522271156311035,Basketball,10,45.0,0.002389708998163799,16.0,0.0024379964264818095,7.0,0.0022400812476875026,19.0,0.0023509418759798803,0.9525287282950509,0.8620485698650454,0.863120568566631,0.8765746478058233,15.0,0.002251608472840354,49.0,0.002477085310838801,15.0,0.0023397471782502757,23.0,0.0024584333537390744,0.9161314485121343,0.9508756016022516,0.9500685975366211,0.9370919134731258,25.0,0.002245155303846196,23.0,0.00245198698754046,0.9733673943340942,0.9131048906957292,,,,,,,,,
29,Spatial Reasoning,Is the dog in front of or behind the person?,in front,http://images.cocodataset.org/val2017/000000017627.jpg,9,138,0.9871804376286679,-1.1247732639312744,Be,9,25.0,0.002372994146256683,68.0,0.0023885309499226573,143.0,0.0023455486280338947,105.0,0.002357812567064831,0.9252822164516169,0.9751785747019284,0.9801901180292081,0.9846795905823009,48.0,0.0023568077977932744,33.0,0.0023907238665998695,24.0,0.0023730137519338665,31.0,0.0023924631492209347,0.961049904015147,0.9962859311888502,0.9323934896284055,0.9676146868233984,14.0,0.00238014725977233,,,0.9402859586706311,,,,,,,,,,
30,Relational Reasoning,What is the person holding?,phone,http://images.cocodataset.org/val2017/000000532855.jpg,5,241,0.9966751278218222,-1.1235735416412354,Sk,5,17.0,0.0021092738536120366,45.0,0.002150745716036963,17.0,0.002271704069879409,30.0,0.002117970539723187,0.981232716348107,0.9653490030292439,0.8409160494198367,0.9814366254181849,16.0,0.002158174300188385,,,,,,,0.9248008763572907,,,,,,,,,,,,,,,,,,
31,Relational Reasoning,What is the person wearing on their head?,helmet,http://images.cocodataset.org/val2017/000000502136.jpg,5,344,0.9911025968122841,-1.5945175886154175,Head,5,17.0,0.0023594009221441473,18.0,0.0024933727360628034,30.0,0.002381493241754788,18.0,0.0024791388608739816,0.9963890537299693,0.8929352898779307,0.9648273104305171,0.9342064019134054,15.0,0.0023382497050744378,,,,,,,0.9664572819896989,,,,,,,,,,,,,,,,,,
32,Spatial Reasoning,Where is the vase positioned?,on table,http://images.cocodataset.org/val2017/000000087038.jpg,5,198,0.9439573083010309,-1.5506253242492676,Sk,5,64.0,0.0058708200740226,46.0,0.005738806290519945,22.0,0.005892776108295861,52.0,0.006037083385627322,0.962021046076287,0.9492907746446158,0.9434038256873108,0.9527861405494393,26.0,0.007822883674380905,,,,,,,0.9010228122187913,,,,,,,,,,,,,,,,,,
33,Relational Reasoning,What is next to the laptop?,mouse,http://images.cocodataset.org/val2017/000000459467.jpg,3,250,0.9867879088597509,-2.2526142597198486,A,3,20.0,0.002582669289025933,109.0,0.0025153247725780256,23.0,0.002473218398238783,,,0.9854752972273344,0.9896446393308955,0.9744978312404313,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Spatial Reasoning,Is the umbrella above or below the person?,above,http://images.cocodataset.org/val2017/000000285894.jpg,5,173,0.9918520972228316,-0.6435895562171936,Below,5,193.0,0.0023988901695561463,105.0,0.0024710008576030408,21.0,0.002488669978720943,25.0,0.002469574449387257,0.9762978506638239,0.9763457800584199,0.9937866610055328,0.9607709666679638,16.0,0.002392844341540053,,,,,,,0.9965119062478288,,,,,,,,,,,,,,,,,,
35,Relational Reasoning,What is on top of the refrigerator?,microwave,http://images.cocodataset.org/val2017/000000322844.jpg,7,291,0.9986940828215617,-1.7129127979278564,A,7,16.0,0.0019001201366956875,18.0,0.0019002067975812946,4.0,0.0018847365478427466,33.0,0.001913800928868287,0.9248008763572907,0.977342973473178,0.0,0.9148958639080632,36.0,0.0019216097051293559,33.0,0.0019203430246246926,12.0,0.0019200053445817095,,,0.9312571863804802,0.9646021938186979,0.9798687566511528,,,,,,,,,,,,,,,,
36,Spatial Reasoning,Is the cat on the left or right side?,left,http://images.cocodataset.org/val2017/000000039769.jpg,10,197,0.9987298230819787,-0.33884531259536743,Left,10,15.0,0.001999717268565516,16.0,0.002047585047472347,16.0,0.001965177388550918,7.0,0.0019522221635506832,0.9877812438119246,0.8387794678549646,0.9886085007312413,0.9852281360342515,28.0,0.001974151007790433,17.0,0.0019577248187303354,24.0,0.0019685165453550346,28.0,0.0020033446943637807,0.9715182972217419,0.9595784770480081,0.9517106973868761,0.9975904446236391,29.0,0.0019555585712159765,10.0,0.0020190855826223387,0.9857704986199524,0.8812908992306927,,,,,,,,,
37,Relational Reasoning,What is the person sitting on?,bench,http://images.cocodataset.org/val2017/000000334555.jpg,8,237,0.9981935582734824,-1.1142364740371704,Car,8,15.0,0.00192589931888738,19.0,0.0019354983211695297,25.0,0.0019349036399866724,17.0,0.0019388010040310498,0.9664572819896988,0.9892422967543257,0.9949956408022635,0.9327185526599537,31.0,0.00192405191200736,17.0,0.0019301089033017943,11.0,0.0019464274307706467,35.0,0.00194670895488584,0.9740469587344318,0.9771236998460401,0.9940302114769565,0.9302517539153285,,,,,,,,,,,,,,,
39,Relational Reasoning,What is beside the bed?,nightstand,http://images.cocodataset.org/val2017/000000356347.jpg,4,299,0.9977823276878841,-2.1762664318084717,a,4,43.0,0.0022015742873497954,23.0,0.0021602108702873345,58.0,0.0021938033363344857,15.0,0.0020611104622595775,0.9636746304104115,0.9841517646228418,0.9619670973764589,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Spatial Reasoning,Is the sign above or below the traffic light?,below,http://images.cocodataset.org/val2017/000000138819.jpg,4,84,0.9982179093400378,-0.7311973571777344,A,4,288.0,0.0020953903066692407,54.0,0.0020411582870478043,18.0,0.002006311588022932,20.0,0.0021172194287273965,0.9784463747981401,0.9880535823165946,0.9894641713470743,0.9232196723355077,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Relational Reasoning,What is the elephant standing on?,ground,http://images.cocodataset.org/val2017/000000025393.jpg,1,243,0.9991547780243233,-1.8168926239013672,Side,1,28.0,0.0024929912223712837,,,,,,,0.8936914553520413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Activity Recognition,What is the person doing?,playing tennis,http://images.cocodataset.org/val2017/000000018737.jpg,9,241,0.9832072287898009,-1.6336984634399414,R,9,17.0,0.0023333728938362973,15.0,0.0023002152736615244,52.0,0.0023474736358411043,17.0,0.0023413458142999394,0.9664022887695614,0.982798115178801,0.9560557221207766,0.9327185526599537,39.0,0.002389461325581457,39.0,0.002396044810554476,19.0,0.002404587197050111,36.0,0.0023656790288053772,0.9429154380352911,0.9900546496841325,0.9617367430790453,0.9636236469495418,15.0,0.0024245169071730284,,,0.9709505944546686,,,,,,,,,,
43,Action Recognition,What action is being performed?,surfing,http://images.cocodataset.org/val2017/000000361268.jpg,5,263,0.9950919205912631,-1.0595378875732422,A,5,32.0,0.0024750272473803583,10.0,0.0022762820266231734,15.0,0.0024015273473577355,29.0,0.0022927407091402657,0.9292273590621354,0.9602297178607612,0.9602297178607612,0.9475587104149222,38.0,0.002326521137385901,,,,,,,0.9768838088520351,,,,,,,,,,,,,,,,,,
44,Activity Recognition,What are the people doing?,sitting,http://images.cocodataset.org/val2017/000000334555.jpg,5,307,0.998281590093967,-2.043616771697998,The,5,15.0,0.0021271218016068964,16.0,0.00204317444747282,35.0,0.0020441561715457686,15.0,0.001981706685949001,0.9182958340544896,0.9965119062478288,0.9549192821608804,0.9718495448242642,9.0,0.0019821244480058304,,,,,,,0.9656336071428252,,,,,,,,,,,,,,,,,,
45,Action Recognition,What is the cat doing?,sleeping,http://images.cocodataset.org/val2017/000000039769.jpg,4,246,0.976493371543358,-0.8902792930603027,The,4,16.0,0.0043116246687975495,24.0,0.00348769570527026,88.0,0.0036236070503035747,15.0,0.00336253773451657,1.0,0.967132018086354,0.9741761858548635,0.9543063494363562,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Activity Recognition,What activity is shown?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,265,0.9880533378788953,-2.378267526626587,Walk,4,16.0,0.0024038858528936903,61.0,0.0025062602686653506,22.0,0.0025867534896604435,28.0,0.0025516681292606772,0.9618974703476992,0.9527995729919059,0.9063593311749661,0.9701429793353155,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Action Recognition,What is the person doing with the phone?,holding,http://images.cocodataset.org/val2017/000000532855.jpg,3,278,0.9946141262710859,-1.0632647275924683,The,3,28.0,0.002535797930442104,19.0,0.002668509031371456,26.0,0.0028050098875623017,,,0.9426192363380043,0.9355095604394199,0.9129986686368237,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Activity Recognition,What sport is being played?,baseball,http://images.cocodataset.org/val2017/000000308430.jpg,8,193,0.997025270226165,-0.6220934391021729,None,8,31.0,0.0022033655528246095,17.0,0.0021733688867597626,62.0,0.0021584079306565056,15.0,0.002164627784849619,0.9185372802147577,0.9967828263127351,0.9673858806799087,0.9500685975366211,21.0,0.0021466341228054916,65.0,0.0021528859052477797,27.0,0.00211269216553821,16.0,0.002190604297985418,0.9580067478829606,0.9517219789761747,0.9842865420109476,0.8950145145731531,,,,,,,,,,,,,,,
49,Action Recognition,What is the dog doing?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,5,300,0.9976926979401012,-1.0856308937072754,The,5,16.0,0.002101127896570745,16.0,0.002192369163433687,16.0,0.002190371831808379,15.0,0.0020740910545598134,0.9414280318460244,0.886859507142915,0.8950145145731531,0.9609640474436811,15.0,0.0020663303301719027,,,,,,,0.982798115178801,,,,,,,,,,,,,,,,,,
50,Activity Recognition,What are the elephants doing?,walking,http://images.cocodataset.org/val2017/000000025393.jpg,7,204,0.9977934354854506,-1.2981114387512207,Walk,7,20.0,0.002790355295197813,17.0,0.0022884526879027047,28.0,0.00242035537340099,15.0,0.0023955125180422114,0.8586727110732552,0.9963890537299694,0.9106994941661897,0.9877812438119247,22.0,0.0026104617064225534,54.0,0.0023657799636524787,13.0,0.0022890784338478807,,,0.9074246850599204,0.957953502482039,0.8636243031319604,,,,,,,,,,,,,,,,
52,Activity Recognition,What activity requires this equipment?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,5,281,0.998189625004241,-2.6017630100250244,C,5,25.0,0.001972926806665574,60.0,0.0020186963089251623,10.0,0.0019457001401681447,90.0,0.002003483009145258,0.9949956408022635,0.9525333099793231,0.9602297178607612,0.9559717146552531,15.0,0.00204065778044452,,,,,,,0.9709505944546686,,,,,,,,,,,,,,,,,,
53,Interaction Recognition,How are the people interacting?,sitting together,http://images.cocodataset.org/val2017/000000334555.jpg,11,159,0.9857504025198891,-1.2552680969238281,In,11,38.0,0.0031845750097236765,15.0,0.0030547009779871613,15.0,0.0030401556208923186,17.0,0.0029547643990247415,0.9274619389398708,0.9654013672997089,0.9877812438119247,0.9771236998460402,53.0,0.0031005355123462017,40.0,0.002967971607537239,22.0,0.0031939797394659798,39.0,0.0029999224721975427,0.9883717656749044,0.9820612071278979,0.9455455033182418,0.9882666074496563,44.0,0.0031668851402226663,15.0,0.002856801060753805,0.9676862525933895,0.9949490477321437,24.0,0.0028061622051756153,0.9820156765792629,,,,,,
54,Scene Understanding,Where is this scene taking place?,kitchen,http://images.cocodataset.org/val2017/000000322864.jpg,8,221,0.9984875847964889,-0.6403933167457581,New,8,46.0,0.002076343804535638,24.0,0.0020367237034366764,18.0,0.0020610486274820657,75.0,0.002041362861859279,0.9503688186357518,0.9398009074013692,0.9728825026363701,0.964655944647777,15.0,0.0020509438918731543,30.0,0.0020299766651685853,26.0,0.002081513678297649,26.0,0.0020522826912444374,0.9018972358711528,0.9446374444430217,0.9563658998837449,0.8931928887160161,,,,,,,,,,,,,,,
55,Environment Type,Is this indoors or outdoors?,outdoors,http://images.cocodataset.org/val2017/000000018737.jpg,5,91,0.9914265850036005,-0.10173408687114716,Out,5,122.0,0.0024289681582962256,148.0,0.002411565175708188,56.0,0.002431539651823394,51.0,0.0024034504959863745,0.9820689610219199,0.9886163279458821,0.9615711451834813,0.992566322571157,24.0,0.002417196659272018,,,,,,,0.9807765320912628,,,,,,,,,,,,,,,,,,
56,Scene Understanding,What type of room is this?,bedroom,http://images.cocodataset.org/val2017/000000356347.jpg,10,326,0.9992546328512787,-0.04156648367643356,K,10,16.0,0.0019006295389186621,25.0,0.0018713722953280607,21.0,0.0018660504062872013,22.0,0.0018659464130632943,0.9886994082884974,0.9653795646262964,0.9554289021908483,0.9490905975029206,42.0,0.001885561724946275,18.0,0.0018615139387012116,33.0,0.0018900758804786097,17.0,0.0018896144544616527,0.9961903086378421,0.9854122527913256,0.9660144884310068,0.8702290979524686,15.0,0.0018819156173091403,22.0,0.0018761840428251917,0.8443536850036224,0.9598452870248482,,,,,,,,,
57,Contextual Understanding,What is the purpose of this space?,cooking,http://images.cocodataset.org/val2017/000000322864.jpg,2,317,0.9976225538612196,-1.7975407838821411,The,2,15.0,0.0020929266882546505,15.0,0.0022383225604217733,,,,,0.9949490477321437,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Scene Understanding,What type of location is shown?,park,http://images.cocodataset.org/val2017/000000334555.jpg,4,211,0.9980248400212035,-1.1921311616897583,City,4,36.0,0.0019970983406646194,99.0,0.0019712438607131485,47.0,0.0019792093652512377,17.0,0.001963431211104309,0.9274903995356394,0.9874868173682954,0.9768765289972499,0.9213299651463159,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Environment Type,Is this a natural or urban environment?,urban,http://images.cocodataset.org/val2017/000000138819.jpg,6,131,0.9988036111472363,-0.25776657462120056,Urban,6,34.0,0.0019745174374016026,274.0,0.0019408473725406308,15.0,0.00194372619556988,23.0,0.0019359429262369898,0.9208346868852948,0.9856400387581665,0.8830374409547587,0.9459180977787195,26.0,0.0019178614793155053,26.0,0.0019256239696945623,,,,,0.9703543378134543,0.9743092791511181,,,,,,,,,,,,,,,,,
60,Scene Understanding,What setting is this?,beach,http://images.cocodataset.org/val2017/000000361268.jpg,2,246,0.9969150111088438,-0.8802231550216675,A,2,90.0,0.002336734584410456,55.0,0.002160038619106051,,,,,0.9743071032867978,0.9748337789521809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,Scene Understanding,What kind of area is depicted?,street,http://images.cocodataset.org/val2017/000000109798.jpg,8,255,0.9984966112386644,-0.6095389127731323,K,8,19.0,0.0019988525778859016,18.0,0.0019995029955870718,50.0,0.0019856051185373445,38.0,0.001975902021970773,0.9894975386227151,0.9342064019134055,0.9620213832263165,0.9724667279614662,18.0,0.001975244489905917,32.0,0.001984270965354028,29.0,0.0019773051931794954,25.0,0.001984200540518288,0.9773429734731779,0.9943494588315954,0.9501600883620298,0.9195548525710907,,,,,,,,,,,,,,,
63,Environment Type,Is this a public or private space?,public,http://images.cocodataset.org/val2017/000000334555.jpg,2,311,0.9959232566124719,-0.1544196754693985,Public,2,15.0,0.002253869910960741,15.0,0.002483776150244951,,,,,0.982798115178801,0.8443536850036224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Scene Understanding,What venue is this?,sports field,http://images.cocodataset.org/val2017/000000308430.jpg,6,324,0.999435727519818,-0.2433728277683258,K,6,15.0,0.0018547663393341167,72.0,0.001872373568068662,31.0,0.001863567268256566,16.0,0.0018588507216799064,0.9543063494363562,0.971398745069012,0.983178639640882,0.9681390622295665,17.0,0.0018626323401099382,19.0,0.0018686285453903817,,,,,0.950753201250753,0.9720048748581784,,,,,,,,,,,,,,,,,
65,Contextual Understanding,What is the setting of this image?,living room,http://images.cocodataset.org/val2017/000000087038.jpg,7,297,0.9987759834290754,-0.9241230487823486,A,7,31.0,0.0020034463423799632,15.0,0.0020053485158196553,15.0,0.0019841003765945662,2.0,0.0019278225514041576,0.9817010974521608,0.9654013672997089,0.8983958159908182,0.0,30.0,0.001992952625709961,17.0,0.001962696272728892,15.0,0.0020532592190842013,,,0.9608812705383214,0.9595784770480079,0.9967916319816366,,,,,,,,,,,,,,,,
