image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_n_points,cluster_9_avg_strength,cluster_9_entropy,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_13_n_points,cluster_13_avg_strength,cluster_12_entropy,cluster_13_entropy
12,Object Identification,What sport equipment is shown?,tennis racket,http://images.cocodataset.org/val2017/000000018737.jpg,4,79,0.9730597227687293,-0.5178846120834351,Motor,4,22.0,0.0034838657476823675,410.0,0.004100721166168593,17.0,0.003835309566641326,15.0,0.0038041204896292094,0.9622685331640485,0.9774527311180042,0.9256134079485958,0.9654013672997089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Object Counting,How many vehicles are parked?,2,http://images.cocodataset.org/val2017/000000109798.jpg,8,211,0.9982682728859307,-0.11452944576740265,,8,15.0,0.0019767329039168282,15.0,0.0019887887542667086,25.0,0.0019500137727341666,30.0,0.001955250997368483,0.8024677973715656,0.7835807040488099,0.9820988001732522,0.9715270798158865,28.0,0.0019537386106560873,87.0,0.001963181419113877,0.9880269590517888,0.9897343919499333,32.0,0.001961788865575965,0.9709885115240869,14.0,0.00195364919646851,,,0.995232557322099,,,,,,,,,,,,,,,,
14,Object Identification,What is the person riding?,surfboard,http://images.cocodataset.org/val2017/000000361268.jpg,3,257,0.9975577596579849,-1.7870800495147705,Car,3,51.0,0.001984832483860842,29.0,0.002012819689880559,20.0,0.0019774081447052117,,,0.9746348129795255,0.9296206283169549,0.9843006345716333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Color Recognition,What color is the umbrella?,red,http://images.cocodataset.org/val2017/000000285894.jpg,4,235,0.9937670320732691,-0.8105772733688354,Black,4,19.0,0.0027253477732971897,15.0,0.002669590003353523,56.0,0.0029239955022570254,15.0,0.002332515133517854,0.9119149038015315,0.9654013672997089,0.9536191151940505,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Color Recognition,What color is the bus?,red,http://images.cocodataset.org/val2017/000000109798.jpg,2,243,0.8994666739718927,-1.0215301513671875,Brown,2,35.0,0.009682993228246293,16.0,0.017437581279951785,,,,,0.9734984015512516,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Attribute Recognition,Is the cat sitting or standing?,sitting,http://images.cocodataset.org/val2017/000000039769.jpg,3,254,0.9957071197502152,-1.0460854768753052,The,3,16.0,0.0028955771723785145,28.0,0.002473557028065343,77.0,0.002485932425176353,,,1.0,0.9626529871527121,0.9754041501387094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Attribute Recognition,Is the laptop open or closed?,open,http://images.cocodataset.org/val2017/000000231339.jpg,3,218,0.9749753868123497,-0.8576808571815491,Cl,3,15.0,0.005478181341379804,25.0,0.009755246216144414,21.0,0.009863231406896666,,,0.9473080736174851,0.8845112106481056,0.866777537176124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Material Recognition,What material is the table made of?,wood,http://images.cocodataset.org/val2017/000000087038.jpg,2,304,0.9939333973733802,-0.7727022171020508,Wood,2,15.0,0.0023488971269015743,18.0,0.0030119233067741236,,,,,0.982798115178801,0.9910760598382222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Attribute Recognition,Is the dog standing or lying down?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,5,111,0.9976898482418126,-0.9240835309028625,Stand,5,71.0,0.0019339647135347795,48.0,0.0019312376794182557,226.0,0.0019288606082970908,10.0,0.0019267002503372238,0.9605572477565936,0.9477537982622259,0.9770475936468743,1.0,12.0,0.0019249979071221653,,,0.9358932809493993,,,,,,,,,,,,,,,,,,,,,,,,,
22,Size Comparison,"Which is larger, the refrigerator or the microwave?",refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,6,238,0.9957721092180953,-0.5223316550254822,Re,6,43.0,0.002475113286997498,50.0,0.002449208604052758,23.0,0.002419885308319865,16.0,0.0023859202038018883,0.9866222635959608,0.9641288275511958,0.9718864326999251,0.9681390622295665,8.0,0.0022147649395549114,13.0,0.002349999137544139,0.9463946303571862,0.99473723787795,,,,,,,,,,,,,,,,,,,,,,,,
23,Color Recognition,What color are the traffic lights?,red,http://images.cocodataset.org/val2017/000000138819.jpg,6,166,0.9841692462217702,-0.8728827238082886,Green,6,64.0,0.002912318491171458,19.0,0.0029517019391725333,100.0,0.002839876183326341,14.0,0.0029626718821444097,0.971936172706242,0.94841021822029,0.9837663972588633,0.8699155297736259,16.0,0.0026910572800267576,15.0,0.002662345942544296,0.9822177815287605,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,,,
24,Attribute Recognition,Is the bed made or unmade?,unmade,http://images.cocodataset.org/val2017/000000356347.jpg,3,199,0.9903226899078477,-0.9430472254753113,Un,3,135.0,0.0025164442692225597,45.0,0.002422407744832848,15.0,0.0023656779128706468,,,0.9839044941183284,0.9549517704344277,0.9718495448242642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Color Recognition,What color is the skateboard?,black,http://images.cocodataset.org/val2017/000000502136.jpg,10,227,0.9963249427232477,-1.3833051919937134,Black,10,51.0,0.0023153056316754547,41.0,0.0022555372820273006,20.0,0.0022590598279840883,31.0,0.002184649053617573,0.9716361073088428,0.9870308032586214,0.9854752972273344,0.9709233667403101,11.0,0.002318245296037026,15.0,0.0023973727401671143,0.8453509366224364,0.9967916319816366,15.0,0.0022373785899800383,0.9877812438119247,17.0,0.00218926724790955,25.0,0.0022293654128127415,0.9856676426534905,1.0,20.0,0.0022104760010708837,1.0,,,,,,,,,,,,
26,Attribute Recognition,Is the door open or closed?,closed,http://images.cocodataset.org/val2017/000000322864.jpg,6,152,0.9810178465061079,-1.3346036672592163,Open,6,200.0,0.00435917161525315,15.0,0.0030957122899589414,8.0,0.003695572283929226,27.0,0.0037286461237979723,0.9797677981868919,0.9473080736174853,0.954434002924965,0.9595229267574499,21.0,0.004448717022106829,20.0,0.004360707385211402,0.9566859396996199,0.9630603734213402,,,,,,,,,,,,,,,,,,,,,,,,
27,Spatial Reasoning,Is the laptop to the left or right of the mouse?,left,http://images.cocodataset.org/val2017/000000459467.jpg,2,299,0.9975059232690122,-1.1595284938812256,Left,2,20.0,0.002855527888491498,21.0,0.002566218219174891,,,,,0.9545258142257613,0.9907017951253161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Spatial Reasoning,Where is the clock located?,on wall,http://images.cocodataset.org/val2017/000000481390.jpg,9,270,0.9967509006869641,-2.522271156311035,Basketball,9,16.0,0.0022366721729044662,15.0,0.0023995988194714353,13.0,0.002334767933906893,16.0,0.0021343518615577007,0.9681390622295665,0.8024677973715656,0.8956403056385981,0.9822177815287605,49.0,0.002443355136616126,23.0,0.0024583767273239463,0.9490611806585744,0.9251735116075492,32.0,0.0023016280669819252,0.9601052017022957,15.0,0.002283223143597459,24.0,0.002353951256275535,0.9877812438119246,0.942631203937882,,,,,,,,,,,,,,,
29,Spatial Reasoning,Is the dog in front of or behind the person?,in front,http://images.cocodataset.org/val2017/000000017627.jpg,9,141,0.9871831614677953,-1.1247732639312744,Be,9,24.0,0.002371159369457011,67.0,0.0023878328526867132,142.0,0.0023449596254737255,105.0,0.0023575076324272495,0.9320027314271102,0.9764107778567888,0.9802834294207009,0.9846795905823009,48.0,0.0023568250434338445,33.0,0.002390069918649081,0.961049904015147,0.9962859311888502,24.0,0.002372527843023995,0.9323934896284055,30.0,0.00239475566124734,14.0,0.002379884841909425,0.947730922119161,0.9402859586706311,,,,,,,,,,,,,,,
30,Relational Reasoning,What is the person holding?,phone,http://images.cocodataset.org/val2017/000000532855.jpg,4,131,0.9973867874669364,-1.1235735416412354,Sk,4,212.0,0.001983219274095881,40.0,0.001971048441112349,64.0,0.0019826522728827217,21.0,0.002003541329372324,0.9834679761370183,0.9791568438604685,0.9842997426673766,0.8881659264001538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Relational Reasoning,What is the person wearing on their head?,helmet,http://images.cocodataset.org/val2017/000000502136.jpg,5,276,0.9940912699356195,-1.5945175886154175,Head,5,22.0,0.0021492836183920148,49.0,0.002154450950401845,15.0,0.002195081494755248,23.0,0.0021356014495670823,0.97283015230032,0.9647643370974266,0.9709505944546686,0.9359550701662825,15.0,0.0020923966091685275,,,0.9473080736174853,,,,,,,,,,,,,,,,,,,,,,,,,
32,Spatial Reasoning,Where is the vase positioned?,on table,http://images.cocodataset.org/val2017/000000087038.jpg,5,204,0.9330212154673517,-1.5506253242492676,Sk,5,30.0,0.006221517411005346,61.0,0.00633777616980521,46.0,0.006183782124351273,37.0,0.007171182844609027,0.95506054831303,0.9648469124911674,0.9492907746446158,0.9405621860960888,26.0,0.00877187966176193,,,0.9010228122187913,,,,,,,,,,,,,,,,,,,,,,,,,
33,Relational Reasoning,What is next to the laptop?,mouse,http://images.cocodataset.org/val2017/000000459467.jpg,7,181,0.9839873205853596,-2.2526142597198486,A,7,16.0,0.0024674740030580043,195.0,0.002500298847500613,12.0,0.002515323121071135,3.0,0.0024230039533256953,0.9414280318460245,0.9744758733576269,0.9182958340544896,0.0,49.0,0.0024707124746836872,29.0,0.002484195565930725,0.9675464361025827,0.9616288546721373,19.0,0.002477826973134402,0.9495113755878275,,,,,,,,,,,,,,,,,,,,,
34,Spatial Reasoning,Is the umbrella above or below the person?,above,http://images.cocodataset.org/val2017/000000285894.jpg,6,189,0.9921505133391362,-0.6435895562171936,Below,6,131.0,0.0023325815163920275,123.0,0.0023657557393121386,18.0,0.002337278356107811,20.0,0.002387584907627828,0.9748551489189368,0.9689819491614642,0.9915323997298832,0.9976834773764092,13.0,0.0022514598568659293,34.0,0.0023372302126241653,0.962947015626608,0.989224860370308,,,,,,,,,,,,,,,,,,,,,,,,
35,Relational Reasoning,What is on top of the refrigerator?,microwave,http://images.cocodataset.org/val2017/000000322844.jpg,10,192,0.9971987080166275,-1.7129127979278564,A,10,31.0,0.0019984472489779884,18.0,0.0020005620761233875,13.0,0.0019760667693187873,17.0,0.001983164664048345,0.98916048610723,0.9758159039662214,0.9629470156266078,0.9327185526599537,46.0,0.0019873855759455837,56.0,0.002013104967675407,0.9767004979275261,0.9536191151940505,82.0,0.001993446411165003,0.9939441310574781,45.0,0.001993081605784027,15.0,0.001993943265302697,0.9854550585670941,0.9189900464321514,19.0,0.002004056989519981,0.9649618403823442,,,,,,,,,,,,
36,Spatial Reasoning,Is the cat on the left or right side?,left,http://images.cocodataset.org/val2017/000000039769.jpg,7,191,0.9988139076872091,-0.33884531259536743,Left,7,50.0,0.0019411207863603943,15.0,0.002001215121546616,15.0,0.0019358445500262148,8.0,0.0019529493726218917,0.9880115929988659,0.7835807040488099,0.9664572819896989,0.8112781244591328,37.0,0.0019396947938182525,59.0,0.0019444398691575054,0.9925299029597374,0.9802967355611565,24.0,0.0019450047115644783,0.9744707946273874,,,,,,,,,,,,,,,,,,,,,
37,Relational Reasoning,What is the person sitting on?,bench,http://images.cocodataset.org/val2017/000000334555.jpg,12,218,0.9982675256869102,-1.1142364740371704,Car,12,50.0,0.0019223254010935706,37.0,0.0019241333692561105,15.0,0.0019133130586874057,54.0,0.0019106329974932289,0.9824369259168408,0.9918012987001761,0.9602297178607612,0.9819129118082591,23.0,0.001918478501724771,33.0,0.0019262858628435284,0.9978904239542103,0.942817802427928,27.0,0.0019301116632590408,0.9946468165806768,31.0,0.0019114780986507257,13.0,0.0019356070405649834,0.9719442553087106,0.8904916402194913,22.0,0.0019183528383507895,0.9904129681145393,26.0,0.001927777903426335,10.0,0.0019330444505301358,0.9938866857439921,0.7219280948873623,,,,,,
39,Relational Reasoning,What is beside the bed?,nightstand,http://images.cocodataset.org/val2017/000000356347.jpg,3,327,0.9971412604442126,-2.1762664318084717,a,3,67.0,0.0022645566817521977,44.0,0.0022136000023279573,15.0,0.002108505484833612,,,0.9691951753994413,0.9744104328051626,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Spatial Reasoning,Is the sign above or below the traffic light?,below,http://images.cocodataset.org/val2017/000000138819.jpg,3,74,0.9980612036724201,-0.7311973571777344,A,3,312.0,0.002105872202632148,97.0,0.002059055365285304,25.0,0.0021121958046141187,,,0.9823144639364968,0.9915657733416531,0.9470920204059348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Relational Reasoning,What is the elephant standing on?,ground,http://images.cocodataset.org/val2017/000000025393.jpg,1,240,0.9988189874180118,-1.8168926239013672,Side,1,31.0,0.0029262654061171624,,,,,,,0.8918448672023285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Activity Recognition,What is the person doing?,playing tennis,http://images.cocodataset.org/val2017/000000018737.jpg,0,256,0.9826771850399177,-1.6336984634399414,R,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,Action Recognition,What action is being performed?,surfing,http://images.cocodataset.org/val2017/000000361268.jpg,5,273,0.9920567786855368,-1.0595378875732422,A,5,37.0,0.002176980145268023,8.0,0.002101925439511148,58.0,0.002153994515283164,29.0,0.0022061610464669226,0.9556541206059553,0.9463946303571862,0.9685490434771656,0.9148804427175335,15.0,0.002128406647905226,,,0.944623214254579,,,,,,,,,,,,,,,,,,,,,,,,,
44,Activity Recognition,What are the people doing?,sitting,http://images.cocodataset.org/val2017/000000334555.jpg,7,197,0.9977686739755725,-2.043616771697998,The,7,43.0,0.002145928365708931,15.0,0.00205321941642041,24.0,0.0020780067993673504,67.0,0.002119997564471202,0.9868140013739624,0.9664572819896989,0.9712286306293441,0.9773741707935701,69.0,0.002105618390665537,64.0,0.0021212102894730585,0.9859563089090135,0.9833875900391057,105.0,0.002102412328678016,0.9876953445983039,,,,,,,,,,,,,,,,,,,,,
45,Action Recognition,What is the cat doing?,sleeping,http://images.cocodataset.org/val2017/000000039769.jpg,4,246,0.9763246333264888,-0.8902792930603027,The,4,15.0,0.00431149246190684,24.0,0.003495065590253874,88.0,0.0036326192079121147,15.0,0.0033729935099870547,0.9967916319816366,0.967132018086354,0.9741761858548635,0.9543063494363562,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Activity Recognition,What activity is shown?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,262,0.9882241838780457,-2.378267526626587,Walk,4,15.0,0.0023898637422115074,59.0,0.00251080412920031,22.0,0.0025927388846926453,28.0,0.0025610723277183444,0.9664572819896989,0.9511714509758197,0.9063593311749661,0.9701429793353155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Action Recognition,What is the person doing with the phone?,holding,http://images.cocodataset.org/val2017/000000532855.jpg,6,233,0.9935152299399431,-1.0632647275924683,The,6,15.0,0.0024803273082023972,28.0,0.002621672400719584,25.0,0.002790032608252049,15.0,0.0024417314913036054,0.9613833012053531,0.9426192363380043,0.9470920204059348,1.0,22.0,0.002444902290590318,28.0,0.0028689169780678025,0.973230191349899,0.9360652220417258,,,,,,,,,,,,,,,,,,,,,,,,
48,Activity Recognition,What sport is being played?,baseball,http://images.cocodataset.org/val2017/000000308430.jpg,7,262,0.9939984125490462,-0.6220934391021729,None,7,18.0,0.0023289461065150066,52.0,0.002286343700751883,29.0,0.0023083016862600054,16.0,0.0023347458670927275,0.9342064019134054,0.9653359308488453,0.9365895140018885,0.8957541375001011,62.0,0.0023365288678227087,41.0,0.0022917252587433433,0.9789222171224777,0.9554406913718826,15.0,0.002278723434104535,1.0,,,,,,,,,,,,,,,,,,,,,
49,Action Recognition,What is the dog doing?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,8,239,0.9965038822598133,-1.0856308937072754,The,8,20.0,0.0022200488832072483,23.0,0.002263675712215453,63.0,0.0021871085164017257,15.0,0.0022173508971847886,0.951850848028674,0.9565831515652945,0.9717001319760642,0.9189900464321514,10.0,0.00215781017810049,15.0,0.0021248488262085924,0.8649735207179273,0.9949490477321437,17.0,0.002260977772668259,0.8091970544181966,15.0,0.002156232722588664,,,0.9609640474436811,,,,,,,,,,,,,,,,
50,Activity Recognition,What are the elephants doing?,walking,http://images.cocodataset.org/val2017/000000025393.jpg,1,238,0.9990985491309315,-1.2981114387512207,Walk,1,25.0,0.0030971885564951736,,,,,,,0.832890542803119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Activity Recognition,What activity requires this equipment?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,293,0.9983465371843286,-2.6017630100250244,C,4,26.0,0.0019724022517804904,48.0,0.002014858829307407,17.0,0.0019767135605974545,88.0,0.001998344207780235,0.9982270255729266,0.9482996983468315,0.9878171319090819,0.9586130585906237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Interaction Recognition,How are the people interacting?,sitting together,http://images.cocodataset.org/val2017/000000334555.jpg,10,261,0.9987657230089734,-1.2552680969238281,In,10,15.0,0.0019273844486949224,30.0,0.0019369371571734027,16.0,0.0019177705015457067,27.0,0.0019409453827309649,1.0,0.9661783347580306,0.9681390622295665,0.9176043439688757,24.0,0.0019307290705771315,16.0,0.0019163195221465331,0.9712286306293441,0.9886085007312413,16.0,0.001936885200114481,0.9755307720176266,9.0,0.0019455347492674246,13.0,0.0019142456367617253,0.7642045065086203,0.9169636088209151,9.0,0.0019270541406198223,0.9910760598382222,,,,,,,,,,,,
54,Scene Understanding,Where is this scene taking place?,kitchen,http://images.cocodataset.org/val2017/000000322864.jpg,7,254,0.9978633564800642,-0.6403933167457581,New,7,27.0,0.0021481502485198286,36.0,0.0022075582993791283,76.0,0.00212654749190584,67.0,0.0021474776743808793,0.9564142500056078,0.9761409825967332,0.9829959133386001,0.97953328108387,15.0,0.002082038789756936,26.0,0.0021336476792014167,0.9664572819896989,0.9663243931957524,18.0,0.0021765769162775186,0.9342064019134055,,,,,,,,,,,,,,,,,,,,,
55,Environment Type,Is this indoors or outdoors?,outdoors,http://images.cocodataset.org/val2017/000000018737.jpg,3,233,0.9923860793120017,-0.10173408687114716,Out,3,24.0,0.002345848446592935,58.0,0.00237080060635146,29.0,0.002355713530881733,,,0.9795739585136224,0.9487286847878376,0.9782415097457728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Scene Understanding,What type of room is this?,bedroom,http://images.cocodataset.org/val2017/000000356347.jpg,11,243,0.9992107148556049,-0.04156648367643356,K,11,21.0,0.0019049260019364017,18.0,0.0018922809818813775,16.0,0.0018860162700909731,72.0,0.0018896230971506853,0.9526841246715825,0.9758159039662214,0.9755307720176265,0.9738580223486633,40.0,0.0018924885983255626,36.0,0.00189361070307318,0.9616734342416563,0.9769853801932566,15.0,0.0018820939172822305,0.9877812438119247,32.0,0.0018942060184631944,17.0,0.0018893007329546338,0.9331283343729938,0.9878171319090819,17.0,0.0018892848843904487,0.9770358764490155,22.0,0.0018935438469139948,,,0.933816945485606,,,,,,,
57,Contextual Understanding,What is the purpose of this space?,cooking,http://images.cocodataset.org/val2017/000000322864.jpg,10,249,0.997911334038043,-1.7975407838821411,The,10,39.0,0.0021492807560744005,31.0,0.0021177232228962025,36.0,0.002085260865001512,19.0,0.002066340779378855,0.9777761597404581,0.9610541506765681,0.9474708343527999,0.9418071986717287,17.0,0.0021145097505187115,29.0,0.002095275930500317,0.8846148739279865,0.9905655791153918,25.0,0.002062531766983859,0.9790081411766279,16.0,0.0020612697754775855,33.0,0.002069748842399083,0.9618974703476992,0.9975615042420973,22.0,0.002086620198694813,0.9904129681145393,,,,,,,,,,,,
58,Scene Understanding,What type of location is shown?,park,http://images.cocodataset.org/val2017/000000334555.jpg,2,215,0.9986176413168286,-1.1921311616897583,City,2,114.0,0.0019218104836240281,27.0,0.0019209418164003137,,,,,0.9768989838434067,0.9913248349537365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,Environment Type,Is this a natural or urban environment?,urban,http://images.cocodataset.org/val2017/000000138819.jpg,6,116,0.9982675112466268,-0.25776657462120056,Urban,6,23.0,0.002016522242554731,274.0,0.002016742182973152,20.0,0.001984285195426976,27.0,0.0019848775619798593,0.9926387952545109,0.9824209028515144,0.9843006345716333,0.9794773758936526,30.0,0.0019776286768260895,20.0,0.0019832608963607093,0.9925823876369816,0.9921503172858166,,,,,,,,,,,,,,,,,,,,,,,,
60,Scene Understanding,What setting is this?,beach,http://images.cocodataset.org/val2017/000000361268.jpg,9,202,0.9983405658490377,-0.8802231550216675,A,9,27.0,0.0019352831899471803,140.0,0.0019456646249754953,76.0,0.0019452785733936066,19.0,0.0019624025267559343,0.960267607603483,0.9850260057758011,0.9769403648563402,0.8693978806749074,16.0,0.001964824298917891,18.0,0.0019458103343223667,0.9886994082884974,0.9728825026363701,17.0,0.001969801407449739,0.9975025463691152,26.0,0.0019484169164326515,17.0,0.0019206013807953905,0.980618302361438,0.9519839065438831,,,,,,,,,,,,,,,
