image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_11_entropy,cluster_12_entropy
14,Object Identification,What is the person riding?,surfboard,http://images.cocodataset.org/val2017/000000361268.jpg,3,268,0.9982385108942146,-1.7870800495147705,Car,3,16.0,0.002034119553586796,16.0,0.002021273247823516,16.0,0.0020261614794809257,,,,,,,0.9618974703476992,0.9681390622295665,0.9528195311147832,,,,,,,,,,,,,,,,,,,,,,,,
15,Color Recognition,What color is the umbrella?,red,http://images.cocodataset.org/val2017/000000285894.jpg,4,272,0.9941232900359767,-0.8105772733688354,Black,4,17.0,0.0026920915894358983,15.0,0.002601586457634142,18.0,0.002684514768845702,53.0,0.0029148245593444166,,,,,0.9603948809345497,0.9877812438119247,0.9915323997298832,0.9883760006002896,,,,,,,,,,,,,,,,,,,,,,,
16,Color Recognition,What color is the bus?,red,http://images.cocodataset.org/val2017/000000109798.jpg,2,243,0.9291361413560658,-1.0215301513671875,Brown,2,35.0,0.008441097964702046,16.0,0.01492900094068431,,,,,,,,,0.9734984015512516,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,,,
17,Attribute Recognition,Is the cat sitting or standing?,sitting,http://images.cocodataset.org/val2017/000000039769.jpg,3,253,0.9964262921077489,-1.0460854768753052,The,3,16.0,0.002796592652425143,28.0,0.002404128082244973,70.0,0.0024184450342438707,,,,,,,1.0,0.9626529871527121,0.9730116509834856,,,,,,,,,,,,,,,,,,,,,,,,
19,Attribute Recognition,Is the laptop open or closed?,open,http://images.cocodataset.org/val2017/000000231339.jpg,3,218,0.9753228391147883,-0.8576808571815491,Cl,3,15.0,0.005473646838417168,25.0,0.009681923402068192,21.0,0.009765105220914764,,,,,,,0.9473080736174851,0.8845112106481056,0.866777537176124,,,,,,,,,,,,,,,,,,,,,,,,
20,Material Recognition,What material is the table made of?,wood,http://images.cocodataset.org/val2017/000000087038.jpg,6,275,0.9991921082102252,-0.7727022171020508,Wood,6,16.0,0.001937951483429167,29.0,0.0019408307507513749,17.0,0.0019362298821110888,27.0,0.0019587403795620533,29.0,0.0019936777194422815,19.0,0.00198530806371358,0.9401204074720739,0.9501600883620297,0.9771236998460401,0.9928370275077354,0.9566547173030661,0.90647263812994,,,,,,,,,,,,,,,,,,,,,
21,Attribute Recognition,Is the dog standing or lying down?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,2,90,0.9976731739483624,-0.9240835309028625,Stand,2,85.0,0.0019374236289240556,348.0,0.0019325925744403342,,,,,,,,,0.9831457551182725,0.9848247211916669,,,,,,,,,,,,,,,,,,,,,,,,,
22,Size Comparison,"Which is larger, the refrigerator or the microwave?",refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,6,207,0.9974429757475778,-0.5223316550254822,Re,6,15.0,0.002225480643220922,29.0,0.0022432463962045513,19.0,0.002253217121985161,45.0,0.002302004278619531,50.0,0.0022819545335456344,16.0,0.002317443475040303,0.9147366491799203,0.9446526214531504,0.9224323529821663,0.9652626192590386,0.9658082598249157,0.985056822321508,,,,,,,,,,,,,,,,,,,,,
23,Color Recognition,What color are the traffic lights?,red,http://images.cocodataset.org/val2017/000000138819.jpg,5,199,0.9934816378502376,-0.8728827238082886,Green,5,26.0,0.002515710877367836,34.0,0.002470798155124167,29.0,0.002437341671471553,40.0,0.002387911278837405,20.0,0.0026733783022335083,,,0.937257335681051,0.9587888697331164,0.9747261012660314,0.955107457937493,0.8427376486136673,,,,,,,,,,,,,,,,,,,,,,
24,Attribute Recognition,Is the bed made or unmade?,unmade,http://images.cocodataset.org/val2017/000000356347.jpg,1,216,0.9949477948533837,-0.9430472254753113,Un,1,224.0,0.0022823362984189426,,,,,,,,,,,0.981245175074522,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Color Recognition,What color is the skateboard?,black,http://images.cocodataset.org/val2017/000000502136.jpg,6,286,0.9979289721444311,-1.3833051919937134,Black,6,36.0,0.002098602885998527,40.0,0.002228626789391048,25.0,0.0021615636409150416,15.0,0.002190448038283144,15.0,0.00209621371100949,16.0,0.002238871938212918,0.9728911924099742,0.9370776605138382,0.961816903130002,0.9189900464321514,0.9446232142545791,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,
26,Attribute Recognition,Is the door open or closed?,closed,http://images.cocodataset.org/val2017/000000322864.jpg,6,147,0.9844843632172499,-1.3346036672592163,Open,6,199.0,0.004094136119994003,15.0,0.0029448839264950835,8.0,0.0034776022336814455,27.0,0.0035167538291980597,23.0,0.0039654826766771815,20.0,0.004067356270307328,0.9795575646717695,0.9473080736174853,0.954434002924965,0.9595229267574499,0.9359550701662825,0.9630603734213402,,,,,,,,,,,,,,,,,,,,,
27,Spatial Reasoning,Is the laptop to the left or right of the mouse?,left,http://images.cocodataset.org/val2017/000000459467.jpg,5,215,0.9987794718774439,-1.1595284938812256,Left,5,25.0,0.0019660829884765997,25.0,0.0019830262290653953,84.0,0.0019838526700543344,50.0,0.0019671581318483813,23.0,0.0020061608117396008,,,0.9505030771498542,0.9372765336772135,0.9677882375663867,0.9673167826972213,0.9978904239542102,,,,,,,,,,,,,,,,,,,,,,
28,Spatial Reasoning,Where is the clock located?,on wall,http://images.cocodataset.org/val2017/000000481390.jpg,9,240,0.9952885099251653,-2.522271156311035,Basketball,9,16.0,0.0023797362848091224,43.0,0.0024516122515825137,15.0,0.0025010481518759984,19.0,0.0024551153202228455,27.0,0.002426716417600455,18.0,0.0024669692528535123,0.8980898459737486,0.9588679206123913,0.9189900464321514,0.90647263812994,0.9380371505053449,0.8826232641893705,23.0,0.0025016892907294207,20.0,0.00251929667913263,15.0,0.002623644124531246,,,,,0.9650095768458276,0.9008047485295136,0.7835807040488099,,,,,,,,
29,Spatial Reasoning,Is the dog in front of or behind the person?,in front,http://images.cocodataset.org/val2017/000000017627.jpg,9,140,0.9871895309980551,-1.1247732639312744,Be,9,25.0,0.002369324057694257,68.0,0.002387610488029849,144.0,0.0023447499153305667,105.0,0.0023573899175048504,47.0,0.0023538263103676954,33.0,0.0023886065449389552,0.9607709666679638,0.9751785747019284,0.9801125245710308,0.9846795905823009,0.9622288134604585,0.9962859311888502,25.0,0.002372374078098907,31.0,0.002388350487892124,14.0,0.0023782082745865156,,,,,0.9256573443248606,0.9676146868233984,0.9402859586706311,,,,,,,,
30,Relational Reasoning,What is the person holding?,phone,http://images.cocodataset.org/val2017/000000532855.jpg,9,251,0.9969117509415364,-1.1235735416412354,Sk,9,16.0,0.0020819773956528105,15.0,0.0021938356240864443,15.0,0.0020566177276092846,18.0,0.0021283824916237103,26.0,0.0021209348635535335,19.0,0.0022429071155350418,0.9772170014624824,0.8649735207179273,0.9664572819896988,0.9388201415867106,0.964563236385718,0.9041116874399232,21.0,0.0020988918961857054,19.0,0.0021290381383513427,17.0,0.0021579697500138666,,,,,0.9205992139597079,0.94841021822029,0.9967828263127351,,,,,,,,
31,Relational Reasoning,What is the person wearing on their head?,helmet,http://images.cocodataset.org/val2017/000000502136.jpg,5,324,0.9916829042843941,-1.5945175886154175,Head,5,16.0,0.002334147199438379,16.0,0.0023035919448786725,20.0,0.002482398644299945,21.0,0.0023419230148623692,15.0,0.002400541635217689,,,1.0,0.9690222556651344,0.9372305632161296,0.9973038706391728,0.9602297178607612,,,,,,,,,,,,,,,,,,,,,,
32,Spatial Reasoning,Where is the vase positioned?,on table,http://images.cocodataset.org/val2017/000000087038.jpg,5,193,0.9467367173222431,-1.5506253242492676,Sk,5,63.0,0.005762370926002639,46.0,0.005702659896628665,22.0,0.005764770121670513,52.0,0.005942069956686548,26.0,0.007808887235248059,,,0.9635765158042738,0.9492907746446158,0.9434038256873108,0.9527861405494393,0.9010228122187913,,,,,,,,,,,,,,,,,,,,,,
33,Relational Reasoning,What is next to the laptop?,mouse,http://images.cocodataset.org/val2017/000000459467.jpg,5,229,0.9886648180167789,-2.2526142597198486,A,5,15.0,0.0024510676728971476,171.0,0.0024703931952053167,55.0,0.0024881882447075386,32.0,0.002459728906873786,15.0,0.002483875087657412,,,0.9877812438119247,0.983433678366242,0.9693923249580003,0.9879171970544535,0.8830374409547587,,,,,,,,,,,,,,,,,,,,,,
34,Spatial Reasoning,Is the umbrella above or below the person?,above,http://images.cocodataset.org/val2017/000000285894.jpg,6,182,0.9965801638861808,-0.6435895562171936,Below,6,174.0,0.002220208165764246,106.0,0.0022890940461214675,21.0,0.002307269440500838,24.0,0.0022573838999297765,10.0,0.0020815196266083125,2.0,0.0019998011354063518,0.9826333702745872,0.9874740127923227,0.9937866610055328,0.9652033156653039,0.9911594714322186,0.0,,,,,,,,,,,,,,,,,,,,,
35,Relational Reasoning,What is on top of the refrigerator?,microwave,http://images.cocodataset.org/val2017/000000322844.jpg,5,303,0.9989756259390131,-1.7129127979278564,A,5,27.0,0.0019210303602644652,38.0,0.0019048626264074843,23.0,0.0018973169433346131,22.0,0.0019215989088795147,31.0,0.001916188532863148,,,0.9564142500056078,0.939259898826126,0.9741887370104049,0.9477528103057691,0.9541620931594382,,,,,,,,,,,,,,,,,,,,,,
36,Spatial Reasoning,Is the cat on the left or right side?,left,http://images.cocodataset.org/val2017/000000039769.jpg,4,223,0.998912258819657,-0.33884531259536743,Left,4,27.0,0.002024301645092864,33.0,0.0019372330201245151,17.0,0.0019582397961197175,31.0,0.0019485238602735377,,,,,0.8976852011143102,0.9791388962158882,0.9719977955078913,0.9885985099830982,,,,,,,,,,,,,,,,,,,,,,,
37,Relational Reasoning,What is the person sitting on?,bench,http://images.cocodataset.org/val2017/000000334555.jpg,7,222,0.9981272387706667,-1.1142364740371704,Car,7,24.0,0.0019287958852736511,15.0,0.0019454063865900072,47.0,0.0019353359562554796,38.0,0.0019325275978299202,33.0,0.0019362535998919384,27.0,0.0019425012963696418,0.9882484440780547,0.9877812438119246,0.9840377023518084,0.9635399437566661,0.9693082068162734,0.9683925140412226,29.0,0.0019448731819577609,,,,,,,,,0.9366069816072335,,,,,,,,,,
39,Relational Reasoning,What is beside the bed?,nightstand,http://images.cocodataset.org/val2017/000000356347.jpg,2,319,0.9985547953207298,-2.1762664318084717,a,2,67.0,0.0020887853412927455,56.0,0.0020880426438663877,,,,,,,,,0.9775282102306265,0.9550585575335861,,,,,,,,,,,,,,,,,,,,,,,,,
40,Spatial Reasoning,Is the sign above or below the traffic light?,below,http://images.cocodataset.org/val2017/000000138819.jpg,3,82,0.9982859317224404,-0.7311973571777344,A,3,302.0,0.002086361646517484,76.0,0.0020258347900402743,20.0,0.0021072205712323634,,,,,,,0.9801203875014917,0.9891674134366023,0.9232196723355077,,,,,,,,,,,,,,,,,,,,,,,,
41,Relational Reasoning,What is the elephant standing on?,ground,http://images.cocodataset.org/val2017/000000025393.jpg,2,293,0.9992257892240852,-1.8168926239013672,Side,2,17.0,0.0020101651757426344,25.0,0.0021395488592444783,,,,,,,,,0.9664022887695614,0.8634588883901244,,,,,,,,,,,,,,,,,,,,,,,,,
42,Activity Recognition,What is the person doing?,playing tennis,http://images.cocodataset.org/val2017/000000018737.jpg,7,241,0.9824952216969337,-1.6336984634399414,R,7,16.0,0.0025273794597103143,16.0,0.002434115063595684,74.0,0.002523359552561688,65.0,0.0024652433067948857,24.0,0.0025642862968449955,16.0,0.0024727145163343854,0.8620485698650454,0.8980898459737487,0.9538522607675803,0.9734297223022034,0.8920795639257109,0.9755307720176266,45.0,0.0025047295536031206,,,,,,,,,0.9584058027628216,,,,,,,,,,
43,Action Recognition,What action is being performed?,surfing,http://images.cocodataset.org/val2017/000000361268.jpg,6,260,0.9979222182917141,-1.0595378875732422,A,6,37.0,0.0022065044470547597,16.0,0.0022362336668952064,18.0,0.0021769556567191855,16.0,0.0021298583481472186,28.0,0.0021235946382711533,25.0,0.002147803382617065,0.9369793346312351,0.8950145145731531,0.9535998353544739,0.9618974703476992,0.9798512813478699,0.9587363722245956,,,,,,,,,,,,,,,,,,,,,
44,Activity Recognition,What are the people doing?,sitting,http://images.cocodataset.org/val2017/000000334555.jpg,7,282,0.9989139135924257,-2.043616771697998,The,7,20.0,0.0019802689554295648,17.0,0.0020574053853928604,19.0,0.0019609818449278595,15.0,0.001972145594096535,19.0,0.001997613789454787,15.0,0.0019103562299129758,0.9406454496153462,0.9774178175281716,0.9656476401164372,0.9500685975366211,0.9975194757207203,0.9613833012053531,18.0,0.001960994912787781,,,,,,,,,0.9773429734731779,,,,,,,,,,
45,Action Recognition,What is the cat doing?,sleeping,http://images.cocodataset.org/val2017/000000039769.jpg,4,250,0.9770421322844113,-0.8902792930603027,The,4,16.0,0.00428806025125266,24.0,0.0034655462275360997,89.0,0.0036029964468137082,15.0,0.003345775541852136,,,,,1.0,0.967132018086354,0.9734887428347331,0.9543063494363562,,,,,,,,,,,,,,,,,,,,,,,
46,Activity Recognition,What activity is shown?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,275,0.9880446069295923,-2.378267526626587,Walk,4,18.0,0.0024302501742266953,61.0,0.002497263508621444,24.0,0.002540370407195195,28.0,0.0025340659046874,,,,,0.9535998353544739,0.9449865748953582,0.8653251365268717,0.9701429793353155,,,,,,,,,,,,,,,,,,,,,,,
47,Action Recognition,What is the person doing with the phone?,holding,http://images.cocodataset.org/val2017/000000532855.jpg,3,278,0.9951301499249959,-1.0632647275924683,The,3,28.0,0.0024959315690423717,19.0,0.002634210399191379,26.0,0.002754302496927642,,,,,,,0.9426192363380043,0.9355095604394199,0.9129986686368237,,,,,,,,,,,,,,,,,,,,,,,,
48,Activity Recognition,What sport is being played?,baseball,http://images.cocodataset.org/val2017/000000308430.jpg,9,179,0.9983596181349882,-0.6220934391021729,None,9,34.0,0.0020728452598407655,17.0,0.0020338693952015163,20.0,0.0020586243181964095,74.0,0.002044570652352436,105.0,0.0020655759458138453,26.0,0.0020546214344367457,0.9674210164809749,0.9771236998460401,0.9416915491145067,0.9657920352870746,0.9680047608462958,0.9771744945121784,22.0,0.002123834400664546,18.0,0.0020344433309844264,5.0,0.0019754511268215646,,,,,0.9477954545532473,0.9874687506009636,0.9709505944546686,,,,,,,,
49,Action Recognition,What is the dog doing?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,6,270,0.9985349733988502,-1.0856308937072754,The,6,30.0,0.002023777047162868,68.0,0.0020346206610239517,22.0,0.002106734246196024,16.0,0.0020668109527433366,2.0,0.001894266849716926,15.0,0.0020188652767620034,0.9550605483130302,0.9603130469980796,0.9115339911368305,0.949701216438411,0.0,0.8983958159908183,,,,,,,,,,,,,,,,,,,,,
50,Activity Recognition,What are the elephants doing?,walking,http://images.cocodataset.org/val2017/000000025393.jpg,6,249,0.9878242771901332,-1.2981114387512207,Walk,6,15.0,0.002691822142510532,32.0,0.002804556501753602,24.0,0.0027019627947026865,18.0,0.003043089485097242,12.0,0.0027013871326402555,26.0,0.0027889940516544077,0.9543063494363562,0.9514146474171905,0.9697883595925098,0.872009434056298,0.9808340377961403,0.9439287762440044,,,,,,,,,,,,,,,,,,,,,
52,Activity Recognition,What activity requires this equipment?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,5,275,0.9981784936387491,-2.6017630100250244,C,5,25.0,0.0019700010336792285,58.0,0.0020168082258111997,10.0,0.001941465940099327,93.0,0.0019996598435651795,15.0,0.0020396013165478893,,,0.9949956408022635,0.9498252097178391,0.9602297178607612,0.9536455278671164,0.9709505944546686,,,,,,,,,,,,,,,,,,,,,,
53,Interaction Recognition,How are the people interacting?,sitting together,http://images.cocodataset.org/val2017/000000334555.jpg,13,130,0.9935030089140995,-1.2552680969238281,In,13,37.0,0.0026301925122656894,15.0,0.0026203326785774073,13.0,0.0025060449766828694,27.0,0.0025842999790798285,54.0,0.0026593636973322415,40.0,0.002580790746242762,0.933175369545353,0.9654013672997089,0.99473723787795,0.979539249112788,0.9920272096521399,0.9820612071278979,20.0,0.0026605226724035667,40.0,0.0026043652322194433,44.0,0.0027048174193861057,18.0,0.00254669028226356,13.0,0.0025280545914232047,0.951850848028674,0.9852660073450026,0.9681465969327996,0.977342973473178,0.9770455804590027,26.0,0.0024826886016737154,8.0,0.0025030595676492078,0.9860445386707747,1.0
54,Scene Understanding,Where is this scene taking place?,kitchen,http://images.cocodataset.org/val2017/000000322864.jpg,4,312,0.9990367949432395,-0.6403933167457581,New,4,17.0,0.00199964803718878,17.0,0.0019405886171426476,17.0,0.001990321449955099,10.0,0.0019499594214941317,,,,,0.8726389366057715,0.9664022887695614,0.9360847109776411,0.9709505944546686,,,,,,,,,,,,,,,,,,,,,,,
55,Environment Type,Is this indoors or outdoors?,outdoors,http://images.cocodataset.org/val2017/000000018737.jpg,5,255,0.9887808231211151,-0.10173408687114716,Out,5,39.0,0.002691796843060286,36.0,0.0027030664568539003,51.0,0.002670664100685175,41.0,0.002646716097941818,30.0,0.0027398052665472614,,,0.9666288391775343,0.9346452123998055,0.9783461758783252,0.9825092746645971,0.9888936569923775,,,,,,,,,,,,,,,,,,,,,,
56,Scene Understanding,What type of room is this?,bedroom,http://images.cocodataset.org/val2017/000000356347.jpg,10,243,0.9993929527775909,-0.04156648367643356,K,10,15.0,0.0018926601630276383,21.0,0.0018842524866771928,28.0,0.0018653526475746164,15.0,0.0018561793527397353,28.0,0.0018503526735407871,15.0,0.0018427353865000504,0.9709505944546686,0.958411422117983,0.9270121049637692,0.9602297178607612,0.9564164990541855,0.9664572819896989,33.0,0.001867121481526357,15.0,0.001847804188342638,16.0,0.0018481018783730674,33.0,0.0018648692218513976,,,0.9809425879815541,0.944623214254579,0.9414280318460245,0.9852158810440798,,,,,,,
57,Contextual Understanding,What is the purpose of this space?,cooking,http://images.cocodataset.org/val2017/000000322864.jpg,2,323,0.998929077839782,-1.7975407838821411,The,2,20.0,0.001985447855970555,15.0,0.001965241272535916,,,,,,,,,0.9481816004150758,0.9664572819896989,,,,,,,,,,,,,,,,,,,,,,,,,
58,Scene Understanding,What type of location is shown?,park,http://images.cocodataset.org/val2017/000000334555.jpg,5,208,0.9984373002418822,-1.1921311616897583,City,5,45.0,0.002009853611969365,105.0,0.0020086840371736944,51.0,0.0019917219040763785,9.0,0.001949662994858647,19.0,0.0020043730966385833,,,0.9429101001405741,0.9764262985663563,0.9741138512732748,0.9656336071428252,0.9355095604394199,,,,,,,,,,,,,,,,,,,,,,
59,Environment Type,Is this a natural or urban environment?,urban,http://images.cocodataset.org/val2017/000000138819.jpg,6,162,0.9988080208701202,-0.25776657462120056,Urban,6,29.0,0.0019728847237962823,240.0,0.0019692010716524265,16.0,0.0019360651616899941,20.0,0.001948978895723623,5.0,0.0018875236741349554,15.0,0.001962338675059459,0.9611628450594525,0.9773061934822506,0.9886085007312412,0.9701955028602792,0.9709505944546686,0.9877812438119247,,,,,,,,,,,,,,,,,,,,,
60,Scene Understanding,What setting is this?,beach,http://images.cocodataset.org/val2017/000000361268.jpg,5,250,0.9989696171850986,-0.8802231550216675,A,5,72.0,0.0020349648280191326,19.0,0.001958698385409751,15.0,0.001913060313555381,11.0,0.0019369826233008992,16.0,0.0019242325075077748,,,0.9485042314786631,0.9418071986717287,0.9859247724121322,0.9922150607220183,0.9592101522724052,,,,,,,,,,,,,,,,,,,,,,
62,Scene Understanding,What kind of area is depicted?,street,http://images.cocodataset.org/val2017/000000109798.jpg,3,327,0.9994302731292756,-0.6095389127731323,K,3,16.0,0.0019442510289075091,22.0,0.0018995720483861557,17.0,0.0019225962440289465,,,,,,,0.9463946303571862,0.9442922925903574,0.9256134079485958,,,,,,,,,,,,,,,,,,,,,,,,
63,Environment Type,Is this a public or private space?,public,http://images.cocodataset.org/val2017/000000334555.jpg,3,302,0.9955971543273483,-0.1544196754693985,Public,3,17.0,0.002301896668943313,31.0,0.00220522505169844,9.0,0.0021576330693155775,,,,,,,0.9771236998460402,0.972913189687814,0.9656336071428252,,,,,,,,,,,,,,,,,,,,,,,,
