image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_0_entropy,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_n_points,cluster_11_avg_strength,cluster_12_n_points,cluster_12_avg_strength,cluster_11_entropy,cluster_12_entropy
13,Object Counting,How many vehicles are parked?,2,http://images.cocodataset.org/val2017/000000109798.jpg,8,183,0.9989210453840087,-0.11452944576740265,,8,16.0,0.001918701079044179,85.0,0.001932070824489306,27.0,0.0019516674490550933,54.0,0.0019318630080279633,16.0,0.0019278606445495856,15.0,0.001930802894774316,44.0,0.0019276055256827746,0.9618974703476992,0.97113833544433,0.9115455847100358,0.9721958250377811,0.9965119062478288,0.8616157143988104,0.9604409717952576,15.0,0.0019424750283264477,,,,,,,0.8830374409547587,,,,,,,,,
14,Object Identification,What is the person riding?,surfboard,http://images.cocodataset.org/val2017/000000361268.jpg,2,290,0.9986988600693826,-1.7870800495147705,Car,2,15.0,0.001981312394889497,15.0,0.0019688266704326702,,,,,,,,,,,0.9543063494363562,0.982798115178801,,,,,,,,,,,,,,,,,,,,,,,
15,Color Recognition,What color is the umbrella?,red,http://images.cocodataset.org/val2017/000000285894.jpg,5,262,0.9962854569755972,-0.8105772733688354,Black,5,18.0,0.002538096627023101,15.0,0.0024181655779766205,23.0,0.002435977717278032,50.0,0.0026082291602896805,15.0,0.002360207356695414,,,,,0.9435794406736077,0.9654013672997089,0.9160773047093677,0.9842772892104896,1.0,,,,,,,,,,,,,,,,,,,,
16,Color Recognition,What color is the bus?,red,http://images.cocodataset.org/val2017/000000109798.jpg,2,243,0.9395177736463027,-1.0215301513671875,Brown,2,35.0,0.00789522884196982,16.0,0.013888875172037659,,,,,,,,,,,0.9734984015512516,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,,,
17,Attribute Recognition,Is the cat sitting or standing?,sitting,http://images.cocodataset.org/val2017/000000039769.jpg,3,253,0.996501458960965,-1.0460854768753052,The,3,16.0,0.00278610831418244,28.0,0.002395168401998597,70.0,0.0024107158855555554,,,,,,,,,1.0,0.9626529871527121,0.9730116509834856,,,,,,,,,,,,,,,,,,,,,,
19,Attribute Recognition,Is the laptop open or closed?,open,http://images.cocodataset.org/val2017/000000231339.jpg,3,218,0.9752835002068143,-0.8576808571815491,Cl,3,15.0,0.0054800427642861145,25.0,0.009689187269956092,21.0,0.009771217350730974,,,,,,,,,0.9473080736174851,0.8845112106481056,0.866777537176124,,,,,,,,,,,,,,,,,,,,,,
20,Material Recognition,What material is the table made of?,wood,http://images.cocodataset.org/val2017/000000087038.jpg,7,228,0.9991595502661396,-0.7727022171020508,Wood,7,28.0,0.001972574177621808,15.0,0.0019666338376063187,19.0,0.0019410916500975399,122.0,0.00196146512137725,21.0,0.0019418892819354893,16.0,0.0019142702398104229,15.0,0.0019237263364579036,0.9683638946518718,0.9018972358711528,0.9892422967543257,0.979993766560064,0.9907017951253161,0.9415787376332126,0.9446232142545791,,,,,,,,,,,,,,,,,,
21,Attribute Recognition,Is the dog standing or lying down?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,2,86,0.9976735786385741,-0.9240835309028625,Stand,2,90.0,0.0019364246394387454,346.0,0.0019323999522315282,,,,,,,,,,,0.9718105440037815,0.9861742312687777,,,,,,,,,,,,,,,,,,,,,,,
22,Size Comparison,"Which is larger, the refrigerator or the microwave?",refrigerator,http://images.cocodataset.org/val2017/000000322844.jpg,6,206,0.9976507377519537,-0.5223316550254822,Re,6,15.0,0.0022117620895247417,29.0,0.0022305983649677365,20.0,0.0022477531576894916,42.0,0.002264630365814279,50.0,0.0022507997016608743,16.0,0.0022754013810490827,,,0.9147366491799203,0.9446526214531504,0.906015005671138,0.9687579044543703,0.9658082598249157,0.985056822321508,,,,,,,,,,,,,,,,,,,
23,Color Recognition,What color are the traffic lights?,red,http://images.cocodataset.org/val2017/000000138819.jpg,6,177,0.9952730245892687,-0.8728827238082886,Green,6,31.0,0.002380467394146071,42.0,0.0023458811418441057,36.0,0.002447597535410005,19.0,0.0022928348798846162,43.0,0.002290806503827238,15.0,0.0022206496678868737,,,0.9564897127705024,0.9432557611428086,0.9081969924992244,0.9880900585356662,0.9593979246275157,0.9613833012053531,,,,,,,,,,,,,,,,,,,
24,Attribute Recognition,Is the bed made or unmade?,unmade,http://images.cocodataset.org/val2017/000000356347.jpg,1,213,0.9955624173486074,-0.9430472254753113,Un,1,225.0,0.002253502918018653,,,,,,,,,,,,,0.9817929524628584,,,,,,,,,,,,,,,,,,,,,,,,
25,Color Recognition,What color is the skateboard?,black,http://images.cocodataset.org/val2017/000000502136.jpg,8,243,0.9987122134734294,-1.3833051919937134,Black,8,17.0,0.002020815270162993,72.0,0.0019651356558214356,42.0,0.0019830724123939755,19.0,0.002052008161133741,18.0,0.0021302779636941413,22.0,0.0020303813651697837,19.0,0.0019956809878991415,0.9878171319090819,0.9789891632964638,0.9709478881263325,0.9617367430790453,1.0,0.9681300137657637,0.9720048748581784,15.0,0.0020314238404355134,,,,,,,0.8830374409547587,,,,,,,,,
26,Attribute Recognition,Is the door open or closed?,closed,http://images.cocodataset.org/val2017/000000322864.jpg,6,147,0.9852375463594562,-1.3346036672592163,Open,6,199.0,0.004026377102643647,15.0,0.002914873915486647,8.0,0.0034286474326784195,27.0,0.0034722504682025705,23.0,0.003901389979522661,20.0,0.004001176938839115,,,0.9801719437757769,0.9473080736174853,0.954434002924965,0.9595229267574499,0.9359550701662825,0.9630603734213402,,,,,,,,,,,,,,,,,,,
27,Spatial Reasoning,Is the laptop to the left or right of the mouse?,left,http://images.cocodataset.org/val2017/000000459467.jpg,4,183,0.9988283007445465,-1.1595284938812256,Left,4,46.0,0.0019447973784833372,38.0,0.0019370240774344717,5.0,0.001873667288603835,190.0,0.001964270417116562,,,,,,,0.9672432422120353,0.9673763032601664,0.9709505944546686,0.9675767004061094,,,,,,,,,,,,,,,,,,,,,
28,Spatial Reasoning,Where is the clock located?,on wall,http://images.cocodataset.org/val2017/000000481390.jpg,8,260,0.9961094532281952,-2.522271156311035,Basketball,8,47.0,0.002374358785471921,15.0,0.0024266404516950077,18.0,0.002374243137858474,27.0,0.0023655201219744382,18.0,0.002409594422020755,24.0,0.00242821366837383,19.0,0.0024312482234943346,0.9521645888373794,0.9189900464321514,0.9206250851407773,0.9380371505053449,0.8826232641893705,0.9745411476764105,0.90647263812994,16.0,0.0025136712816517933,,,,,,,0.8194483718728035,,,,,,,,,
29,Spatial Reasoning,Is the dog in front of or behind the person?,in front,http://images.cocodataset.org/val2017/000000017627.jpg,9,140,0.9871958317830687,-1.1247732639312744,Be,9,26.0,0.0023699593818179406,68.0,0.002387897761429995,144.0,0.00234454509876729,105.0,0.002357466673284999,47.0,0.0023539544800961097,33.0,0.0023885656112384427,25.0,0.0023723859433253326,0.9577896291365711,0.9751785747019284,0.9801125245710308,0.9846795905823009,0.9622288134604585,0.9962859311888502,0.9256573443248606,31.0,0.0023883888151974516,14.0,0.002378594893124676,,,,,0.9676146868233984,0.9402859586706311,,,,,,,,
30,Relational Reasoning,What is the person holding?,phone,http://images.cocodataset.org/val2017/000000532855.jpg,8,268,0.998240824224611,-1.1235735416412354,Sk,8,24.0,0.001990747799777526,15.0,0.001973007114545648,15.0,0.0019882597749153884,21.0,0.0020329842054180288,20.0,0.002095644137841728,11.0,0.0020628757342577675,21.0,0.0020336314894939676,0.967132018086354,0.9664572819896988,0.9446232142545791,0.9907017951253161,0.9089460785096519,0.8453509366224364,0.969354248643417,20.0,0.0020317018121673936,,,,,,,0.9630603734213402,,,,,,,,,
31,Relational Reasoning,What is the person wearing on their head?,helmet,http://images.cocodataset.org/val2017/000000502136.jpg,4,333,0.9925388399637293,-1.5945175886154175,Head,4,16.0,0.0023172321498449925,16.0,0.002281499071414088,19.0,0.002457050689188691,20.0,0.002305444996129104,,,,,,,1.0,0.9690222556651344,0.9258628921382102,1.0,,,,,,,,,,,,,,,,,,,,,
32,Spatial Reasoning,Where is the vase positioned?,on table,http://images.cocodataset.org/val2017/000000087038.jpg,5,189,0.9442560211456268,-1.5506253242492676,Sk,5,64.0,0.005837445430509583,47.0,0.005726588054577316,26.0,0.005395335255154385,52.0,0.00602672830639945,26.0,0.007877342366867997,,,,,0.9657005893984986,0.9550901040617978,0.9356642929143761,0.9527861405494393,0.9010228122187913,,,,,,,,,,,,,,,,,,,,
33,Relational Reasoning,What is next to the laptop?,mouse,http://images.cocodataset.org/val2017/000000459467.jpg,3,228,0.9906295508890909,-2.2526142597198486,A,3,178.0,0.002433594180411274,59.0,0.002467168137852439,27.0,0.0024171243463101035,,,,,,,,,0.9790843353998393,0.9564982079451393,0.9485222931640167,,,,,,,,,,,,,,,,,,,,,,
34,Spatial Reasoning,Is the umbrella above or below the person?,above,http://images.cocodataset.org/val2017/000000285894.jpg,5,168,0.9977219449362527,-0.6435895562171936,Below,5,176.0,0.0020899237567954545,111.0,0.002130547208726436,21.0,0.0021631603275671075,23.0,0.002117140404700136,2.0,0.0019187167611152153,,,,,0.983253043781515,0.9796725101094969,0.9937866610055328,0.9668324690003138,0.0,,,,,,,,,,,,,,,,,,,,
35,Relational Reasoning,What is on top of the refrigerator?,microwave,http://images.cocodataset.org/val2017/000000322844.jpg,5,305,0.9991074811347082,-1.7129127979278564,A,5,27.0,0.0019047160220766472,39.0,0.00189076590159508,23.0,0.0018860599526474334,22.0,0.0019053289489411851,31.0,0.0019045354069277755,,,,,0.9564142500056078,0.9524624446097081,0.9741887370104049,0.9477528103057691,0.9541620931594382,,,,,,,,,,,,,,,,,,,,
36,Spatial Reasoning,Is the cat on the left or right side?,left,http://images.cocodataset.org/val2017/000000039769.jpg,7,139,0.9990390808242583,-0.33884531259536743,Left,7,45.0,0.0019344706541701072,49.0,0.001970009514354987,15.0,0.0019531779934670447,54.0,0.001929744588732315,18.0,0.0019418328359691675,12.0,0.0019171275124135086,16.0,0.0019486868980487517,0.9742569511636013,0.9556079493672176,0.9446232142545791,0.9870746529123666,0.9853962684364187,0.9795739585136223,0.9886085007312413,,,,,,,,,,,,,,,,,,
37,Relational Reasoning,What is the person sitting on?,bench,http://images.cocodataset.org/val2017/000000334555.jpg,11,200,0.998105832200964,-1.1142364740371704,Car,11,31.0,0.0019282733866220153,51.0,0.001933278451661046,15.0,0.0019425024048342478,50.0,0.001948316906474531,2.0,0.001900683669720054,15.0,0.0019351821061558458,34.0,0.0019412949352028747,0.9779666143968005,0.9828301512871482,0.9877812438119246,0.9504587901736009,0.0,0.8983958159908183,0.9527773202028498,35.0,0.0019464418010866696,12.0,0.001932732642079626,16.0,0.0019533678682219,9.0,0.0019482080346299492,0.9653608749008596,0.9206198357143051,0.949701216438411,0.7642045065086203,,,,,,
39,Relational Reasoning,What is beside the bed?,nightstand,http://images.cocodataset.org/val2017/000000356347.jpg,3,301,0.9985870761856196,-2.1762664318084717,a,3,67.0,0.002084712969463741,57.0,0.0020930604207526535,15.0,0.001982155341962431,,,,,,,,,0.9754424241252619,0.9556231091144125,0.9859247724121322,,,,,,,,,,,,,,,,,,,,,,
40,Spatial Reasoning,Is the sign above or below the traffic light?,below,http://images.cocodataset.org/val2017/000000138819.jpg,3,79,0.9982983052762318,-0.7311973571777344,A,3,307.0,0.0020836489588272303,80.0,0.002024296014591414,20.0,0.0021057182537755404,,,,,,,,,0.980382869351406,0.988767433916682,0.9232196723355077,,,,,,,,,,,,,,,,,,,,,,
41,Relational Reasoning,What is the elephant standing on?,ground,http://images.cocodataset.org/val2017/000000025393.jpg,4,307,0.9993169169731967,-1.8168926239013672,Side,4,16.0,0.0019180535949799879,24.0,0.0020503150938137624,15.0,0.001910336662003249,21.0,0.0019298831348350416,,,,,,,0.9618974703476992,0.8920795639257109,0.9664572819896988,0.9588649012766761,,,,,,,,,,,,,,,,,,,,,
42,Activity Recognition,What is the person doing?,playing tennis,http://images.cocodataset.org/val2017/000000018737.jpg,7,282,0.9821363303746007,-1.6336984634399414,R,7,15.0,0.0025147462258181094,61.0,0.002559178517002353,22.0,0.002553104669659743,44.0,0.0024675492804104348,12.0,0.0024387862435624554,15.0,0.0024295828473152327,20.0,0.002576139650548718,0.8830374409547587,0.9549570916867425,0.9226754683112184,0.9801998130975882,0.920619835714305,0.944623214254579,0.9602297178607612,,,,,,,,,,,,,,,,,,
43,Action Recognition,What action is being performed?,surfing,http://images.cocodataset.org/val2017/000000361268.jpg,5,265,0.9988214187649658,-1.0595378875732422,A,5,33.0,0.002091376715010953,15.0,0.0020939957113323463,17.0,0.0020446322922598155,29.0,0.0020235095833437923,26.0,0.002046893024122376,,,,,0.934952488295006,0.9018972358711528,0.9605278493513334,0.9848296482841215,0.9512228114652609,,,,,,,,,,,,,,,,,,,,
44,Activity Recognition,What are the people doing?,sitting,http://images.cocodataset.org/val2017/000000334555.jpg,7,277,0.9990123301394193,-2.043616771697998,The,7,22.0,0.0019738278950622314,17.0,0.002048426068160905,20.0,0.0019601659102454695,15.0,0.0019601630311658264,19.0,0.0019877415603689334,15.0,0.0018988382731081415,23.0,0.001940179335738106,0.97283015230032,0.9774178175281716,0.9630603734213403,0.9500685975366211,0.9975194757207203,0.9613833012053531,0.9787122437557367,,,,,,,,,,,,,,,,,,
45,Action Recognition,What is the cat doing?,sleeping,http://images.cocodataset.org/val2017/000000039769.jpg,4,250,0.9770970760017554,-0.8902792930603027,The,4,16.0,0.004286408650009563,24.0,0.003463811158881462,89.0,0.0036010628067457825,15.0,0.003344225064791791,,,,,,,1.0,0.967132018086354,0.9734887428347331,0.9543063494363562,,,,,,,,,,,,,,,,,,,,,
46,Activity Recognition,What activity is shown?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,4,282,0.9879376713578838,-2.378267526626587,Walk,4,19.0,0.0024250997331403323,66.0,0.0024940319647990075,24.0,0.0025403267890353573,28.0,0.0025335309662252513,,,,,,,0.9796494552648447,0.9487072373978119,0.8653251365268717,0.9701429793353155,,,,,,,,,,,,,,,,,,,,,
47,Action Recognition,What is the person doing with the phone?,holding,http://images.cocodataset.org/val2017/000000532855.jpg,3,278,0.9952757746887918,-1.0632647275924683,The,3,28.0,0.0024852741807320565,19.0,0.002621603672407666,26.0,0.0027331032308683854,,,,,,,,,0.9426192363380043,0.9355095604394199,0.9129986686368237,,,,,,,,,,,,,,,,,,,,,,
48,Activity Recognition,What sport is being played?,baseball,http://images.cocodataset.org/val2017/000000308430.jpg,7,177,0.9987172963866828,-0.6220934391021729,None,7,33.0,0.002028118615631678,24.0,0.0019923367862664664,22.0,0.0020206138912748778,98.0,0.0020068216143969845,104.0,0.0020208338868247184,26.0,0.002014797607017133,22.0,0.002070331076809959,0.9614996049215603,0.9592301465966595,0.9598452870248484,0.966963695718224,0.9559004076406263,0.9711362770397297,0.9063593311749661,,,,,,,,,,,,,,,,,,
49,Action Recognition,What is the dog doing?,standing,http://images.cocodataset.org/val2017/000000017627.jpg,8,261,0.9987228916352,-1.0856308937072754,The,8,26.0,0.001997087583041762,26.0,0.0019812324899447517,34.0,0.002037238133820878,21.0,0.0020803421178167184,16.0,0.002041181401810734,13.0,0.0020182280534978107,2.0,0.0018897548157529639,0.9546641369561337,0.9793283207185154,0.9347851342850122,0.8924709137188214,0.949701216438411,0.8956403056385981,0.0,8.0,0.001933671773832057,,,,,,,0.9463946303571862,,,,,,,,,
50,Activity Recognition,What are the elephants doing?,walking,http://images.cocodataset.org/val2017/000000025393.jpg,5,268,0.9940231041017319,-1.2981114387512207,Walk,5,15.0,0.0024278934252529,31.0,0.0024989407437231107,24.0,0.0024361635831011853,17.0,0.002663138051914589,12.0,0.0024262588265350155,,,,,0.9543063494363562,0.9583039214799499,0.9639125816315371,0.8846148739279865,0.9808340377961403,,,,,,,,,,,,,,,,,,,,
52,Activity Recognition,What activity requires this equipment?,skiing,http://images.cocodataset.org/val2017/000000502136.jpg,6,262,0.9981760388660749,-2.6017630100250244,C,6,25.0,0.0019695397420145555,58.0,0.0020166599342142056,10.0,0.0019412117254183612,93.0,0.0019994256177820065,15.0,0.0020398008352017346,15.0,0.001953491176450175,,,0.9949956408022635,0.9498252097178391,0.9602297178607612,0.9536455278671164,0.9709505944546686,0.9609640474436811,,,,,,,,,,,,,,,,,,,
53,Interaction Recognition,How are the people interacting?,sitting together,http://images.cocodataset.org/val2017/000000334555.jpg,13,135,0.9949820636209568,-1.2552680969238281,In,13,38.0,0.002516853129917455,15.0,0.00250200436285852,13.0,0.0024227873459334043,27.0,0.0024665629394962207,54.0,0.0025313316750328685,40.0,0.002463517825390719,15.0,0.002530199123741723,0.9411324525855338,0.9654013672997089,0.99473723787795,0.979539249112788,0.9920272096521399,0.9820612071278979,0.9500685975366211,40.0,0.002485370302037609,44.0,0.0025735391489974356,18.0,0.002434511291259175,13.0,0.0024182045895098686,0.9852660073450026,0.9681465969327996,0.977342973473178,0.9770455804590027,26.0,0.0023747874992644706,8.0,0.0023941356679820828,0.9860445386707747,1.0
54,Scene Understanding,Where is this scene taking place?,kitchen,http://images.cocodataset.org/val2017/000000322864.jpg,4,293,0.9991950033724905,-0.6403933167457581,New,4,16.0,0.0019436242963955786,18.0,0.001968794543497037,17.0,0.001930927971426131,12.0,0.0019016997919225056,,,,,,,0.9320201587042914,0.9057125980138372,0.9038817882085971,0.9808340377961404,,,,,,,,,,,,,,,,,,,,,
55,Environment Type,Is this indoors or outdoors?,outdoors,http://images.cocodataset.org/val2017/000000018737.jpg,9,210,0.9937714644458384,-0.10173408687114716,Out,9,33.0,0.0024361704173678843,32.0,0.002436880052895119,48.0,0.00240306615906848,15.0,0.0025010461029485592,42.0,0.0023963924655790647,15.0,0.002353711172028616,15.0,0.002418595268477625,0.9385467769413562,0.9254321302492553,0.9751236650741767,0.7835807040488099,0.9775336876126517,0.9859247724121322,0.9877812438119247,32.0,0.0024839991755361613,15.0,0.002441168627714295,,,,,0.9877844401167203,0.9500685975366211,,,,,,,,
56,Scene Understanding,What type of room is this?,bedroom,http://images.cocodataset.org/val2017/000000356347.jpg,8,286,0.9994080399478258,-0.04156648367643356,K,8,15.0,0.0018882867840457902,21.0,0.0018807878911399063,15.0,0.0018712370854313707,16.0,0.0018430338854532142,25.0,0.0018548201066337423,15.0,0.0018459441564598717,15.0,0.0018596758161241829,0.9709505944546686,0.958411422117983,0.8649735207179273,0.9772170014624825,0.9745455500297384,0.9543063494363562,0.9500685975366211,28.0,0.0018500071070546799,,,,,,,0.984013443307608,,,,,,,,,
57,Contextual Understanding,What is the purpose of this space?,cooking,http://images.cocodataset.org/val2017/000000322864.jpg,2,332,0.9990350346685798,-1.7975407838821411,The,2,26.0,0.0019668985373883733,17.0,0.001950143607245502,,,,,,,,,,,0.966392649271559,0.9771236998460401,,,,,,,,,,,,,,,,,,,,,,,
58,Scene Understanding,What type of location is shown?,park,http://images.cocodataset.org/val2017/000000334555.jpg,5,184,0.9987664650532276,-1.1921311616897583,City,5,39.0,0.0019421902444127115,120.0,0.0019609660610010577,79.0,0.0019464336773175647,33.0,0.0019506754272061756,15.0,0.0019382062320112896,,,,,0.9636802296077096,0.9781686845988989,0.9764873972245,0.9476619280129283,1.0,,,,,,,,,,,,,,,,,,,,
59,Environment Type,Is this a natural or urban environment?,urban,http://images.cocodataset.org/val2017/000000138819.jpg,8,151,0.9989997722850787,-0.25776657462120056,Urban,8,111.0,0.0019531493250995588,101.0,0.0020002131054235707,20.0,0.0019626261948855303,15.0,0.001932979554538177,15.0,0.0019412394781457916,22.0,0.0019498771359657335,10.0,0.0019207843067263215,0.9796997199975371,0.9702755803640724,0.9927376486136672,0.9664572819896988,0.9543063494363562,0.989062158294503,0.9911594714322186,17.0,0.0019478016564779632,,,,,,,0.9856676426534906,,,,,,,,,
60,Scene Understanding,What setting is this?,beach,http://images.cocodataset.org/val2017/000000361268.jpg,4,251,0.9990542494576804,-0.8802231550216675,A,4,77.0,0.002022218669597211,17.0,0.0019398738924939884,16.0,0.0019130212787892193,10.0,0.0019205083167562003,,,,,,,0.9559918890281831,0.9429842044464151,0.9724056781360314,0.9911594714322186,,,,,,,,,,,,,,,,,,,,,
62,Scene Understanding,What kind of area is depicted?,street,http://images.cocodataset.org/val2017/000000109798.jpg,3,303,0.9994672058090597,-0.6095389127731323,K,3,15.0,0.0019244619651899095,15.0,0.0019023096520006343,17.0,0.001900080430012504,,,,,,,,,0.9654013672997089,0.9446232142545791,0.9664022887695614,,,,,,,,,,,,,,,,,,,,,,
63,Environment Type,Is this a public or private space?,public,http://images.cocodataset.org/val2017/000000334555.jpg,4,259,0.9967749580370249,-0.1544196754693985,Public,4,23.0,0.002239917598403739,48.0,0.0021883161285148004,25.0,0.0021037828237123316,15.0,0.002209967611146806,,,,,,,0.9535274401940106,0.9805308900026425,0.9730265235413916,0.9877812438119247,,,,,,,,,,,,,,,,,,,,,
