question_id,category,answer,predicted_answer,cleaned_answer,correct,mean_attention,entropy
131087003,yes/no,yes,"
Is there a body of water here?
Yes",yes,1,0.0017032623291015625,6.375
131087004,other,dog,"
What is in the water?

There is a surfboard in the water.",there,0,0.001708984375,6.3712158203125
131075000,other,on,"
What does the green light, on the TV, indicate?
The green light on the TV indicates that the projector is on and displaying the image on the",on,1,0.0016918182373046875,6.3792724609375
131075001,yes/no,no,"
Is the light on? No",no,1,0.001712799072265625,6.3671875
131075002,other,office,"
What room of the house is this?
The room in the house is the living room.",the,0,0.0017032623291015625,6.375
131075003,other,large,"
What is the size of the TV?
The TV is large, covering the entire wall.",large,1,0.0017032623291015625,6.375
131075004,yes/no,no,"
Is the room messy? No
Is the room clean? Yes",no,1,0.001708984375,6.3712158203125
131075005,yes/no,yes,"
Is this a TV screen?
No",no,0,0.001708984375,6.3712158203125
131075006,other,very big,"
How big is the TV?
The TV is large, covering the entire wall.",the,0,0.001708984375,6.3712158203125
131075007,other,laptop,"
What companion object to the TV can be seen in the bottom right of the picture?

A laptop computer can be seen in the bottom right of the picture, serving as a companion",laptop,1,0.0016775131225585938,6.390625
131075008,other,laptop,"
What is the small computer on the left called?
The small computer on the left is called a laptop.",laptop,1,0.001697540283203125,6.3753662109375
131075009,other,vent,"
What is above the TV?
What is on the table?
What is on the table in front of the TV?
",,0,0.001708984375,6.3712158203125
131075010,other,document,"
What is on the display?
What is the laptop on the table?",,0,0.001708984375,6.3712158203125
131075011,yes/no,yes,"
Is there a laptop in the image?
Yes, there is a laptop in the image.",yes,1,0.0017032623291015625,6.375
131075012,other,screen projection,"
Is it a monitor or a screen projection?

The image shows a screen projection onto a large screen.",screen projection,1,0.0017004013061523438,6.3753662109375
131075013,other,computer,"
What is on the TV screen?
What is on the laptop screen?",,0,0.0017061233520507812,6.37109375
131075014,other,outlook web app,"
What is the title of the presentation in the picture?
The title of the presentation in the picture is ""Outlook Web App"".",outlook web app,1,0.0016946792602539062,6.3790283203125
137045000,color recognition,black,"
What color is the bear?
The bear is black.",black,1,0.001708984375,6.3712158203125
137045001,yes/no,yes,"
Is the animal a mammal? Yes",yes,1,0.0017032623291015625,6.375
137045002,object identification,bear,"
What is this? A bear?
Yes, it is a bear.",bear,1,0.0017156600952148438,6.3682861328125
131093000,yes/no,yes,"
Are there rocks in the picture?
Yes, there are rocks in the picture.",yes,1,0.0017061233520507812,6.37109375
131093001,yes/no,no,"
Has the sheep recently been shaved? No.",no,1,0.0017032623291015625,6.375
131093002,counting,3,"
How many sheeps are this?
There are four sheeps in the image.",there,0,0.0017061233520507812,6.37109375
131093003,yes/no,yes,"
Are there three sheep?
Yes, there are three sheep in the image.",yes,1,0.001712799072265625,6.3671875
524311000,other,wii,"
What is the man playing?

The man is playing a video game using a Wii controller.",wii,1,0.001708984375,6.3714599609375
524311001,yes/no,yes,"
Is the man having a good time?
Yes, the man is having a good time as he is laughing while playing a video game",yes,1,0.0017032623291015625,6.375
524311002,other,glasses,"
What does the man have on his face?

The man has a smile on his face.",the,0,0.0017004013061523438,6.3756103515625
25000,other,tree,"
What is in front of the giraffes?

There is a log in front of the giraffes.",there,0,0.0016946792602539062,6.3790283203125
25001,other,eating,"
What do these giraffes have in common?

The giraffes in the image have a common characteristic of being tall. They are",the,0,0.0016946792602539062,6.3790283203125
25002,yes/no,yes,"
Could this photo be from a zoo?

Yes, this photo could be from a zoo, as it shows a giraffe standing",yes,1,0.0017032623291015625,6.375
25003,yes/no,yes,"
Are the animals eating?
No, the animals are not eating. They are standing and walking around.",no,0,0.001708984375,6.3712158203125
25004,location,near tree,"
Where is the giraffe?
The giraffe is in a zoo.",the,0,0.0017061233520507812,6.37109375
25005,yes/no,no,"
Is there a zebra? No
Is there a giraffe? Yes",no,1,0.0017061233520507812,6.37109375
25006,other,tree,"
What is the giraffe standing behind?

The giraffe is standing behind a tree.",tree,1,0.0017004013061523438,6.3753662109375
25007,yes/no,yes,"
Is the giraffe eating the tree?
No, the giraffe is not eating the tree. It is eating leaves from",no,0,0.001697540283203125,6.3753662109375
25008,yes/no,no,"
Are both giraffes standing?
No, only one giraffe is standing, while the other one is sitting.",no,1,0.0017032623291015625,6.375
25009,yes/no,yes,"
Are they at a zoo?

Yes, the giraffes are at a zoo, as they are standing in an",yes,1,0.001708984375,6.3712158203125
25010,other,log,"
What is on the ground next to the giraffe on the right?

There is a log on the ground next to the giraffe on the right.",log,1,0.0016832351684570312,6.3870849609375
25011,yes/no,yes,"
Are some of the trees dead?
Yes, some of the trees in the image are dead.",yes,1,0.0017061233520507812,6.37109375
25012,yes/no,yes,"
Are any of the animals eating?
Yes, the giraffe is eating leaves from a tree.",yes,1,0.0017032623291015625,6.375
25013,yes/no,no,"
Is the giraffe in the shade?
No, the giraffe is not in the shade.",no,1,0.001697540283203125,6.3753662109375
25014,yes/no,yes,"
Are these giraffes living free range?

No, the giraffes are not living free range. They are in a zoo",no,0,0.001697540283203125,6.3753662109375
25015,counting,2,"
How many giraffes are there?
There are two giraffes in the image.",there,0,0.0017004013061523438,6.3753662109375
25016,yes/no,no,"
Is there a rock near the giraffe?
No, there is no rock near the giraffe.",no,1,0.001697540283203125,6.3753662109375
25017,counting,2,"
How many animals are in this photo?
There are two animals in this photo.",there,0,0.0017032623291015625,6.375
524314000,reasoning,homeless,"
Why is the man on the street?

The man is sitting on the street next to two stuffed animals, which are likely ted",the,0,0.0017032623291015625,6.375
524314001,other,cross legged,"
How is the man sitting?

The man is sitting on the ground.",the,0,0.001708984375,6.3712158203125
524314002,other,automatic,"
What does the word in the upper-left corner, behind the window, translate to in English?",,0,0.0016698837280273438,6.394775390625
262171000,counting,5,"
How many people are on the boat?
There are four people on the boat.",there,0,0.0017032623291015625,6.375
262171001,color recognition,green,"
What color are the leaves?
The leaves are green.",green,1,0.001708984375,6.3712158203125
262171002,other,raft,"
What type of watercraft is that?

The watercraft in the image is a small boat.",the,0,0.0017032623291015625,6.375
262172000,location,left,"
Where are the two blue coolers?

The two blue coolers are located in the kitchen area.",the,0,0.0017032623291015625,6.375
262172001,classification,living room,"
What kind of room is this?
This is a living room.",living room,1,0.0017061233520507812,6.37109375
262172002,yes/no,yes,"
Are they moving?",,0,0.0017156600952148438,6.368408203125
131101000,color recognition,pink,"
What color is the umbrella?
The umbrella is pink.",pink,1,0.0017032623291015625,6.375
131101001,yes/no,no,"
Is this man angry?
No",no,1,0.001712799072265625,6.3671875
131101002,comparison,right,"
Which hand holds the umbrella?

The man is holding the umbrella in his right hand.",right,1,0.0017004013061523438,6.375732421875
30000,yes/no,yes,"
Are there flowers in the vase?
Yes, there are flowers in the vase.",yes,1,0.0017032623291015625,6.375
30001,other,railing,"
What is the vase sitting on?

The vase is sitting on a white pedestal.",the,0,0.0017032623291015625,6.375
30002,other,left,"
Is the sun to the right or left of this flower?
The sun is to the left of the flower.",left,1,0.0016918182373046875,6.3792724609375
30003,yes/no,yes,"
Are the flowers open?
Yes, the flowers are open.",yes,1,0.001712799072265625,6.3671875
30004,color recognition,white,"
What color is the vase?

The vase is white.",white,1,0.0017061233520507812,6.37109375
30005,yes/no,no,"
Are all the flowers white?
No, there are pink flowers in the bouquet.",no,1,0.001708984375,6.3712158203125
524320000,yes/no,no,"
Is the man standing on both foot? No, he is standing on one foot.",no,1,0.0017032623291015625,6.375
524320001,yes/no,no,"
Was this picture likely taken recently?
No",no,1,0.0017032623291015625,6.375
524320002,yes/no,no,"
Do the gentleman's socks match his shoes and belt?",,0,0.0016832351684570312,6.3876953125
240304000,other,grass,"
What is the zebra eating?
The zebra is eating grass.",grass,1,0.0017004013061523438,6.3751220703125
240304001,yes/no,yes,"
Are the zebras facing the same direction?
No, the zebras are facing different directions.",no,0,0.001697540283203125,6.3753662109375
240304002,other,wire,"
What is the tree covered with?

The tree is covered with leaves.",the,0,0.0017061233520507812,6.37109375
34000,yes/no,no,"
Is this a horse? No.
Is this a zebra? Yes.",no,1,0.001712799072265625,6.3671875
34001,other,grass,"
What is the animal eating?
The animal is eating grass.",grass,1,0.0017061233520507812,6.37109375
34002,other,10 years,"
How old is animal?
The animal is young.",the,0,0.001712799072265625,6.3671875
393251000,yes/no,yes,"
Are they drinking wine at the child's party?",,0,0.0016918182373046875,6.379150390625
393251001,yes/no,yes,"
Is the man wearing glasses?
Yes, the man is wearing glasses.",yes,1,0.0017032623291015625,6.375
393251002,other,knife,"
What is the man holding?
The man is holding a knife.",knife,1,0.001708984375,6.3712158203125
393251003,other,cake,"
What is the man cutting?

The man is cutting a cake.",cake,1,0.001708984375,6.3712158203125
262180000,other,banana,"
What is the fruit?

The fruit is banana.",banana,1,0.001712799072265625,6.3671875
262180001,yes/no,yes,"
Is this a good dessert?
Yes, this is a good dessert. The dessert is a chocolate cake",yes,1,0.0017061233520507812,6.37109375
262180002,other,chef,"
What is the name of the type of person that would make this food?

The name of the type of person that would make this food is a chef.",chef,1,0.0016832351684570312,6.3870849609375
262180003,other,vanilla,"
What type of ice cream is on the plate?

There is no ice cream on the plate.",there,0,0.0016946792602539062,6.37890625
524325000,counting,4,"
How many people are wearing shorts in the forefront of this photo?
There are three people wearing shorts in the forefront of this photo.",there,0,0.0016803741455078125,6.38671875
524325001,other,outdoor,"
Is this an indoor or outdoor photo?
Outdoor",outdoor,1,0.001697540283203125,6.3753662109375
524325002,yes/no,yes,"
Are those kites in the air?",,0,0.0017032623291015625,6.375
43697000,yes/no,yes,"
Is this a hot dog?
Yes",yes,1,0.001708984375,6.3712158203125
43697001,color recognition,white,"
What color is the napkin?
The napkin is white.",white,1,0.0017061233520507812,6.37109375
43697002,yes/no,no,"
Is there ketchup on the hot dog?
No, there is no ketchup on the hot dog.",no,1,0.001697540283203125,6.37548828125
43697003,yes/no,no,"
Has this hot dog been grilled? No, it has not been grilled.",no,1,0.0017032623291015625,6.375
43697004,yes/no,yes,"
Have you tried a hot dog like this before?",,0,0.001697540283203125,6.37548828125
43697005,other,mustard,"
What's missing from this hot dog?

The hot dog in the image is missing a bun.",the,0,0.0017004013061523438,6.375244140625
43697006,other,bun,"
What is the hog dog sitting on?

The hog dog is sitting on a piece of bread.",the,0,0.0017004013061523438,6.375244140625
262184000,yes/no,no,"
Is this a toy-sized truck?
No, this is a real-sized truck.",no,1,0.0016946792602539062,6.3790283203125
262184001,other,clouds,"
What is the sky full of?

The sky is full of clouds.",clouds,1,0.0017061233520507812,6.37109375
262184002,location,dock,"
Where are the trucks?
The trucks are in a parking lot.",the,0,0.0017061233520507812,6.37109375
131113000,other,brown,"
What is the color of the carpet?
The color of the carpet is red.",the,0,0.0017004013061523438,6.375244140625
131113001,yes/no,yes,"
Is there a carpet on the floor?
No, there is no carpet on the floor.",no,0,0.0017004013061523438,6.375244140625
131113002,color recognition,silver,"
What color is the refrigerator?
The refrigerator is silver.",silver,1,0.0017004013061523438,6.375244140625
131113003,object identification,refrigerator,"
What is this device?
A refrigerator",refrigerator,1,0.001712799072265625,6.3671875
262187000,yes/no,no,"
Is this plane landing?
No",no,1,0.001712799072265625,6.3671875
262187001,color recognition,red,"
What color is the plane?
The plane is red.",red,1,0.001708984375,6.3712158203125
262187002,other,square,"
What shape are the windows on the side of the plane?
The windows on the side of the plane are square.",square,1,0.0016918182373046875,6.379150390625
262187003,yes/no,no,"
Is the plane taking off?
No",no,1,0.001708984375,6.3712158203125
131118000,yes/no,yes,"
Are these airliners?
No, these are small airplanes.",no,0,0.001708984375,6.3712158203125
131118001,counting,2,"
How many planes are in the picture?
There are two planes in the picture.",there,0,0.0017004013061523438,6.375244140625
131118002,yes/no,yes,"
Are this cargo planes?
No, these are not cargo planes. They are small passenger planes.",no,0,0.001708984375,6.3712158203125
262191000,yes/no,no,"
Is this bear a normal size?
No, the bear is a small size.",no,1,0.0017061233520507812,6.37109375
262191001,other,wmatacom,"
What is the website on the sign?

The website on the sign is wmata.com.",the,0,0.0017032623291015625,6.375
262191002,other,teddy,"
What is the bear called?
The bear is called Teddy.",teddy,1,0.001708984375,6.3712158203125
49000,yes/no,yes,"
Is there a flower arrangement on the lawn?
Yes, there is a flower arrangement on the lawn.",yes,1,0.001697540283203125,6.3753662109375
49001,color recognition,black,"
What color horse is closer to the camera?
The black horse is closer to the camera.",black,1,0.0017004013061523438,6.3753662109375
49002,yes/no,no,"
Are they playing polo?
No, they are not playing polo. They are riding horses and jumping over obst",no,1,0.001708984375,6.3712158203125
524338000,counting,3,"
How many trees are in this photo?
There are two trees in this photo.",there,0,0.0017032623291015625,6.375
524338001,other,elm,"
What type of tree is the man standing next to?
The man is standing next to a tree with a trunk.",the,0,0.0016946792602539062,6.37890625
524338002,yes/no,no,"
Is this man reading a cell phone screen?
No, the man is reading a paper.",no,1,0.0017004013061523438,6.3751220703125
213863000,other,stripes,"
What pattern is on the pants?

The pants have a striped pattern.",the,0,0.0017032623291015625,6.375
213863001,other,baseball,"
What sport is this person playing?

The person in the image is playing baseball.",baseball,1,0.0017061233520507812,6.37109375
213863002,other,catcher,"
What is the position of the player behind the batter called?

The position of the player behind the batter is called the catcher.",catcher,1,0.0016918182373046875,6.379150390625
393268000,color recognition,blue,"
What color is the girl's shirt?
The girl's shirt is blue.",blue,1,0.001697540283203125,6.3753662109375
393268001,other,beer,"
What are they drinking?

The people in the image are drinking beer.",beer,1,0.001708984375,6.3712158203125
393268002,other,sierra nevada,"
What brand of beer is visible?

The brand of beer visible in the image is Corona.",the,0,0.0017032623291015625,6.375
131126000,location,bottom,"
Where is Brooklyn Avenue?

Answer: New York",answer,0,0.001708984375,6.3717041015625
131126001,comparison,north,"
Which direction is Brooklyn Ave?
A. Right
B. Left
C. Up
D. Down

A.",a,0,0.0017004013061523438,6.3756103515625
131126002,yes/no,yes,"
Is there a stop sign in the picture? No, there is no stop sign in the picture.",no,0,0.0017004013061523438,6.3756103515625
131127000,other,nike,"
What logo is on the man's shirt?

The man's shirt has a Nike logo on it.",nike,1,0.0016946792602539062,6.3790283203125
131127001,yes/no,no,"
Is the man unhappy? No.
Is the man happy? Yes.",no,1,0.001708984375,6.371337890625
131127002,yes/no,no,"
Are the men going to share the bananas?",,0,0.001697540283203125,6.3753662109375
131128000,color recognition,yellow and white,"
What color are the flowers?
The flowers are yellow and white.",yellow and white,1,0.001708984375,6.3712158203125
131128001,color recognition,yellow and white,"
What colors are the flowers?

The flowers are white and yellow.",the,0,0.001708984375,6.3712158203125
131128002,counting,3,"
How many flowers are painted on the vase?
There are three flowers painted on the vase.",there,0,0.001697540283203125,6.3753662109375
131128003,yes/no,no,"
Do the painted flowers match the real ones?
No, the painted flowers do not match the real ones.",no,1,0.0017004013061523438,6.375244140625
262201000,location,on cliff,"
Where is the bird?
The bird is on a rock.",the,0,0.001712799072265625,6.3671875
262201001,yes/no,no,"
Will the birds go into the water?
No",no,1,0.0017032623291015625,6.375
262201002,other,right,"
What direction is the bird looking?
The bird is looking to the left.",the,0,0.0017061233520507812,6.37109375
262201003,yes/no,no,"
Is this bird afraid of the ledge? No, it is perched on the edge.",no,1,0.0017004013061523438,6.3753662109375
370986000,other,morning,"
What time of day is it?

It is daytime.",it,0,0.0017061233520507812,6.37109375
370986001,counting,2,"
How many elephants are in the water?
There are three elephants in the water.",there,0,0.001697540283203125,6.3753662109375
370986002,counting,3,"
How many tails can you see in this picture?
There are three tails visible in the picture.",there,0,0.0016946792602539062,6.3790283203125
262204000,counting,2,"
How many tusks are visible?
There are two tusks visible in the image.",there,0,0.0017032623291015625,6.375
262204001,object identification,elephant,"
What is this animal?

An elephant",elephant,1,0.001712799072265625,6.3671875
262204002,color recognition,gray,"
What color is the animal?
The animal is gray.",gray,1,0.001708984375,6.3712158203125
131133000,color recognition,red and white,"
What color is the plane?
The plane is red.",the,0,0.001708984375,6.3712158203125
131133001,other,propeller,"
What type of plane is this?

This is a small propeller plane.",propeller,1,0.0017061233520507812,6.37109375
131133002,yes/no,yes,"
Are the mountains high?
Yes, the mountains are high.",yes,1,0.001712799072265625,6.3671875
262207000,color recognition,tan,"
What color are the seats?
The seats are brown.",the,0,0.001708984375,6.3712158203125
262207001,yes/no,yes,"
Is there a person standing in front of the television?
Yes, there is a man standing in front of the television.",yes,1,0.0016946792602539062,6.37890625
262207002,location,wall,"
Where is the mirror?
Where is the man standing?
What is the man wearing?
What is the man",what,0,0.001712799072265625,6.3671875
262207003,yes/no,yes,"
Is there enough room under the armchairs for a cat to hide?
No, there is not enough room under the armchairs for a cat to hide.",no,0,0.0016832351684570312,6.3873291015625
64000,person identification,rolex,"
Who made the cock?
The cock was made by the company called ""Clocks"".",the,0,0.001708984375,6.3712158203125
64001,yes/no,no,"
Are there numbers on the clock face?
Yes, there are numbers on the clock face.",yes,0,0.0017032623291015625,6.375
64002,yes/no,yes,"
Is there a big tree behind the clock?
Yes, there is a big tree behind the clock.",yes,1,0.0017004013061523438,6.3753662109375
64003,other,clock,"
What is in the picture?
The picture features a clock mounted on a pole, located on a street corner. The clock is",clock,1,0.001708984375,6.3712158203125
64004,other,6:10,"
What time is the clock showing?
The clock is showing 12:00.",the,0,0.0017061233520507812,6.37109375
458763000,other,table,"
What are the vases sitting on?

The vases are sitting on a wooden table.",table,1,0.0017032623291015625,6.375
458763001,counting,3,"
How many trees on the table?
There are three trees on the table.",there,0,0.0017061233520507812,6.37109375
458763002,counting,0,"
How many horns are in the picture?
There are two horns in the picture.",there,0,0.0017004013061523438,6.375244140625
458763003,color recognition,blue,"
What color is the middle vase?
The middle vase is blue.",blue,1,0.0017032623291015625,6.375
458763004,other,wood,"
What is the table made of?

The table is made of wood.",wood,1,0.0017061233520507812,6.37109375
458763005,classification,christmas,"
What kind of trees are on the table?
There are Christmas trees on the table.",christmas,1,0.0017004013061523438,6.375244140625
458763006,yes/no,no,"
Is this a wedding? No.
Is this a birthday party? No.
Is this a baby shower?",no,1,0.001708984375,6.3712158203125
567990000,other,spinach,"
What is the green stuff on this pizza?

The green stuff on this pizza is broccoli.",the,0,0.001697540283203125,6.3753662109375
567990001,yes/no,yes,"
Does the crust look burnt?
No",no,0,0.0017032623291015625,6.375
567990002,other,thick,"
Is it thick or thin crust?
Thick",thick,1,0.0017032623291015625,6.375
567990003,yes/no,yes,"
Does this pizza have a deep dish crust?
No, this pizza does not have a deep dish crust. It has a regular",no,0,0.0016918182373046875,6.3792724609375
393286000,yes/no,yes,"
Is the banana freshly peeled?
Yes, the banana is freshly peeled.",yes,1,0.001697540283203125,6.3753662109375
393286001,yes/no,no,"
Is the banana closed?
No",no,1,0.001708984375,6.37109375
393286002,other,bag,"
What is the orange thing?

The orange thing is a banana.",the,0,0.001708984375,6.37109375
71000,yes/no,yes,"
Does this photo show train tracks?
Yes",yes,1,0.0017061233520507812,6.37109375
71001,yes/no,yes,"
Does this train work?
Yes",yes,1,0.001712799072265625,6.3671875
71002,other,from,"
Is this train headed towards or from the orange building?
The train is headed towards the orange building.",from,1,0.0016918182373046875,6.379150390625
72000,counting,2,"
How many Giraffes are in this image?
There are two giraffes in this image.",there,0,0.0016946792602539062,6.37890625
72001,other,leaves,"
What is the giraffe eating?

The giraffe is eating leaves from a tree.",leaves,1,0.0017004013061523438,6.375244140625
72002,yes/no,yes,"
Are the giraffes under the trees?
Yes, the giraffes are under the trees, with their necks entwined",yes,1,0.001697540283203125,6.3753662109375
393228000,yes/no,yes,"
Are there 3 elephants?
Yes, there are three elephants in the image.",yes,1,0.0017032623291015625,6.375
393228001,yes/no,no,"
Are all of the elephants full grown?
No, there are two baby elephants in the group.",no,1,0.001697540283203125,6.3753662109375
393228002,yes/no,yes,"
Are the elephants in the jungle?
Yes, the elephants are in the jungle, walking through the grass and trees",yes,1,0.0016946792602539062,6.37890625
393290000,other,necklace,"
What is on the woman's neck?

The woman is wearing a necklace.",necklace,1,0.0017004013061523438,6.375244140625
393290001,yes/no,no,"
Is the woman eating the pizza? No, she is not eating the pizza. She is holding it and posing for a",no,1,0.0017004013061523438,6.375244140625
393290002,counting,6,"
How many stairs are there?
There are three stairs.",there,0,0.0017061233520507812,6.37109375
393291000,location,bathroom,"
Where is the sink located?
The sink is located in a bathroom.",bathroom,1,0.001708984375,6.371337890625
393291001,location,shower,"
Where is the soap?
The soap is on the sink.",the,0,0.001712799072265625,6.3671875
393291002,color recognition,white,"
What color is the window frame?
The window frame is white.",white,1,0.0017061233520507812,6.37109375
393291003,other,towel,"
What item is folded up and sitting on the edge of the shower stall?

The item folded up and sitting on the edge of the shower stall is a",the,0,0.001674652099609375,6.390625
393291004,other,solid,"
What pattern is on the shower curtain?

The shower curtain has a striped pattern.",the,0,0.001697540283203125,6.3753662109375
393291005,other,brown,"
What are the colors of the countertop?

The countertop is brown and white.",brown,1,0.0017004013061523438,6.37548828125
393291006,yes/no,no,"
Are there any reflections in this picture?
No",no,1,0.0017004013061523438,6.37548828125
393291007,counting,3,"
How many windows are there?
There are two windows.",there,0,0.001708984375,6.371337890625
393292000,yes/no,no,"
Is the water on?
No",no,1,0.001712799072265625,6.3671875
393292001,yes/no,yes,"
Is this photo outdoors? Yes",yes,1,0.0017061233520507812,6.37109375
393292002,counting,2,"
How many birds are in the sink?
There are two birds in the sink.",there,0,0.0017032623291015625,6.375
262221000,other,referee,"
What is the person on the right called?
The person on the right is called a referee.",referee,1,0.0017004013061523438,6.3753662109375
262221001,person identification,wilson,"
Whose logo is on the official's chair?

The logo on the official's chair is the Wimbledon logo.",the,0,0.0016946792602539062,6.37890625
262221002,counting,1,"
How many tennis players are in the photo?
There are two tennis players in the photo.",there,0,0.0017004013061523438,6.3753662109375
