image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy
18,other,What is the business man doing in the picture?,frowning,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg,0,56,0.5187832691829677,-1.5,making,0,,,,,,,,,,,,,,,,,,,,,,,,
19,other,What is the man riding on?,motorcycle,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg,0,41,0.3264068162509778,-1.1640625,dirt,0,,,,,,,,,,,,,,,,,,,,,,,,
20,other,What is on the pillow?,gray,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,4,98,0.9957427710773459,-1.9765625,pillow,4,62.0,0.005031570061373069,0.9614809383242842,15.0,0.004780363799525104,23.0,0.0056330966062133805,17.0,0.005521984534126643,0.9664572819896988,0.9486586303348535,0.9603948809345497,,,,,,,,,,,,
21,other,What is sitting on the bench?,purse,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg,0,115,0.3276805166673042,-0.6640625,pur,0,,,,,,,,,,,,,,,,,,,,,,,,
22,other,What is the man doing?,skiing,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,124,0.5750037756541935,-0.18359375,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
23,other,What is the person wearing?,skis,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,1,107,0.7774997655968778,-1.015625,jacket,1,19.0,0.054970840176514116,0.9649618403823442,,,,,,,,,,,,,,,,,,,,,
24,other,What is she holding?,poles,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,0,103,0.31978559658068745,-0.5,ski,0,,,,,,,,,,,,,,,,,,,,,,,,
25,other,What is the dog riding on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,70,0.37997623090702265,-0.11572265625,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
26,other,What is in the water?,dog,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,117,0.2881626856756859,-0.78125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
27,other,"What does the green light, on the TV, indicate?",on,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,52,0.36627294043181347,-1.5859375,power,0,,,,,,,,,,,,,,,,,,,,,,,,
28,other,What room of the house is this?,office,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,121,0.406058480741647,-0.421875,office,0,,,,,,,,,,,,,,,,,,,,,,,,
29,other,What is the size of the TV?,large,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,50,0.41000318137967123,-1.3046875,un,0,,,,,,,,,,,,,,,,,,,,,,,,
30,other,How big is the TV?,very big,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,126,0.4742817754238081,-1.578125,un,1,16.0,0.10614052610545016,0.8194483718728035,,,,,,,,,,,,,,,,,,,,,
31,other,What companion object to the TV can be seen in the bottom right of the picture?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,118,0.6758188056305621,-0.54296875,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,
32,other,What is the small computer on the left called?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,41,0.9878933166786633,-0.52734375,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,
33,other,What is above the TV?,vent,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,82,0.2880906240547031,-0.69921875,ceiling,0,,,,,,,,,,,,,,,,,,,,,,,,
34,other,What is on the display?,document,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,126,0.3221431998125597,-1.8359375,un,0,,,,,,,,,,,,,,,,,,,,,,,,
35,other,Is it a monitor or a screen projection?,screen projection,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,133,0.9624049714774232,-0.427734375,screen,0,,,,,,,,,,,,,,,,,,,,,,,,
36,other,What is on the TV screen?,computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,101,0.3379891449636408,-1.8671875,un,0,,,,,,,,,,,,,,,,,,,,,,,,
37,other,What is the title of the presentation in the picture?,outlook web app,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,108,0.9857021828521485,-1.1953125,cultural,1,15.0,0.01692469709586448,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,
38,other,What is the man playing?,wii,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,129,0.5345214401396621,-0.29296875,wii,0,,,,,,,,,,,,,,,,,,,,,,,,
39,other,What does the man have on his face?,glasses,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,108,0.6158924298924675,-0.1982421875,glasses,0,,,,,,,,,,,,,,,,,,,,,,,,
40,other,What is in front of the giraffes?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,51,0.32965879196980435,-1.359375,log,0,,,,,,,,,,,,,,,,,,,,,,,,
41,other,What do these giraffes have in common?,eating,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,122,0.34752799396606865,-1.2890625,tall,0,,,,,,,,,,,,,,,,,,,,,,,,
42,other,What is the giraffe standing behind?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,94,0.37777004628231187,-0.92578125,tree,0,,,,,,,,,,,,,,,,,,,,,,,,
43,other,What is on the ground next to the giraffe on the right?,log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,41,0.2995622761136159,-1.09375,log,0,,,,,,,,,,,,,,,,,,,,,,,,
44,other,How is the man sitting?,cross legged,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,1,138,0.5789378454269267,-0.330078125,cross,1,17.0,0.05880297889749433,0.9774178175281716,,,,,,,,,,,,,,,,,,,,,
45,other,"What does the word in the upper-left corner, behind the window, translate to in English?",automatic,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,0,97,0.4310393019849615,-0.482421875,automatic,0,,,,,,,,,,,,,,,,,,,,,,,,
46,other,What type of watercraft is that?,raft,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg,0,135,0.46021424957609924,-0.6328125,raft,0,,,,,,,,,,,,,,,,,,,,,,,,
47,other,What is the vase sitting on?,railing,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,100,0.9601748772329453,-1.03125,fence,0,,,,,,,,,,,,,,,,,,,,,,,,
48,other,Is the sun to the right or left of this flower?,left,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,0,0.9963983185755725,-0.73828125,right,0,,,,,,,,,,,,,,,,,,,,,,,,
49,other,What is the zebra eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,0,97,0.3833113740860133,-0.81640625,grass,0,,,,,,,,,,,,,,,,,,,,,,,,
50,other,What is the tree covered with?,wire,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,1,95,0.3204121501902913,-1.5,leaves,1,16.0,0.20205826003025712,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,
51,other,What is the animal eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,72,0.248906682600899,-0.12451171875,grass,0,,,,,,,,,,,,,,,,,,,,,,,,
52,other,How old is animal?,10 years,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,126,0.3783969960600749,-1.8671875,1,0,,,,,,,,,,,,,,,,,,,,,,,,
53,other,What is the man holding?,knife,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,126,0.45066380132863987,-0.5078125,knife,0,,,,,,,,,,,,,,,,,,,,,,,,
54,other,What is the man cutting?,cake,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,59,0.44182714099995685,-0.1982421875,cake,0,,,,,,,,,,,,,,,,,,,,,,,,
55,other,What is the fruit?,banana,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,120,0.5865542373124535,-0.18359375,banana,1,17.0,0.08532882967922609,0.8516924496551459,,,,,,,,,,,,,,,,,,,,,
56,other,What is the name of the type of person that would make this food?,chef,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,50,0.3518471600482611,-1.2578125,chef,1,19.0,0.1960348030633664,0.858059727974443,,,,,,,,,,,,,,,,,,,,,
57,other,What type of ice cream is on the plate?,vanilla,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,0,120,0.4382071607354253,-0.3359375,vanilla,0,,,,,,,,,,,,,,,,,,,,,,,,
58,other,Is this an indoor or outdoor photo?,outdoor,http://images.cocodataset.org/train2014/COCO_train2014_000000524325.jpg,0,114,0.4907140273149182,-0.2177734375,outdoor,0,,,,,,,,,,,,,,,,,,,,,,,,
59,other,What's missing from this hot dog?,mustard,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,0,66,0.4406816477217652,-1.015625,k,0,,,,,,,,,,,,,,,,,,,,,,,,
60,other,What is the hog dog sitting on?,bun,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,1,109,0.40400791737062547,-0.1474609375,nap,1,15.0,0.10273744368220594,0.9654013672997089,,,,,,,,,,,,,,,,,,,,,
61,other,What is the sky full of?,clouds,http://images.cocodataset.org/train2014/COCO_train2014_000000262184.jpg,0,73,0.7537892475016073,-0.2080078125,clouds,0,,,,,,,,,,,,,,,,,,,,,,,,
62,other,What is the color of the carpet?,brown,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,1,117,0.5259094436326494,-0.76171875,brown,1,18.0,0.09913607238321154,0.8527924884900404,,,,,,,,,,,,,,,,,,,,,
63,other,What shape are the windows on the side of the plane?,square,http://images.cocodataset.org/train2014/COCO_train2014_000000262187.jpg,0,100,0.3905850343393231,-1.5546875,rectangle,0,,,,,,,,,,,,,,,,,,,,,,,,
64,other,What is the website on the sign?,wmatacom,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg,0,108,0.29442720068883516,-0.9765625,w,0,,,,,,,,,,,,,,,,,,,,,,,,
65,other,What is the bear called?,teddy,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg,0,101,0.8966873641482835,-0.2421875,teddy,0,,,,,,,,,,,,,,,,,,,,,,,,
66,other,What type of tree is the man standing next to?,elm,http://images.cocodataset.org/train2014/COCO_train2014_000000524338.jpg,0,81,0.5052016545087946,-0.9921875,oak,0,,,,,,,,,,,,,,,,,,,,,,,,
67,other,What pattern is on the pants?,stripes,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,36,0.31289392889170553,-1.1171875,stri,0,,,,,,,,,,,,,,,,,,,,,,,,
68,other,What sport is this person playing?,baseball,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,122,0.4822926388019046,-0.10693359375,baseball,0,,,,,,,,,,,,,,,,,,,,,,,,
69,other,What is the position of the player behind the batter called?,catcher,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,105,0.40783105252427326,-0.1376953125,catcher,0,,,,,,,,,,,,,,,,,,,,,,,,
70,other,What are they drinking?,beer,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg,0,111,0.42424269611837506,-0.267578125,beer,0,,,,,,,,,,,,,,,,,,,,,,,,
71,other,What brand of beer is visible?,sierra nevada,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg,0,56,0.9943118246896273,-1.328125,bud,0,,,,,,,,,,,,,,,,,,,,,,,,
72,other,What logo is on the man's shirt?,nike,http://images.cocodataset.org/train2014/COCO_train2014_000000131127.jpg,0,125,0.5645645972708839,-0.5,nike,0,,,,,,,,,,,,,,,,,,,,,,,,
73,other,What direction is the bird looking?,right,http://images.cocodataset.org/train2014/COCO_train2014_000000262201.jpg,0,48,0.42564453619259646,-1.078125,right,0,,,,,,,,,,,,,,,,,,,,,,,,
74,other,What time of day is it?,morning,http://images.cocodataset.org/train2014/COCO_train2014_000000370986.jpg,0,138,0.5359798161377222,-1.25,afternoon,0,,,,,,,,,,,,,,,,,,,,,,,,
75,other,What type of plane is this?,propeller,http://images.cocodataset.org/train2014/COCO_train2014_000000131133.jpg,1,51,0.9454489835943536,-1.6796875,prop,1,18.0,0.02675902582972163,0.872009434056298,,,,,,,,,,,,,,,,,,,,,
76,other,What is in the picture?,clock,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg,0,120,0.4109481386875405,-0.1611328125,clock,0,,,,,,,,,,,,,,,,,,,,,,,,
77,other,What time is the clock showing?,6:10,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg,0,86,0.37656393156579626,-1.109375,1,0,,,,,,,,,,,,,,,,,,,,,,,,
78,other,What are the vases sitting on?,table,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg,1,90,0.24324915767185698,-0.91015625,table,1,16.0,0.24192675120372242,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,
79,other,What is the table made of?,wood,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg,0,95,0.3754535751050311,-0.142578125,wood,0,,,,,,,,,,,,,,,,,,,,,,,,
80,other,What is the green stuff on this pizza?,spinach,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg,1,80,0.40728648378816223,-0.8125,spin,1,17.0,0.1757835851049545,0.8409160494198367,,,,,,,,,,,,,,,,,,,,,
81,other,Is it thick or thin crust?,thick,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg,1,123,0.5333892331606879,-0.212890625,thick,1,15.0,0.06659718385241219,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,
82,other,What is the orange thing?,bag,http://images.cocodataset.org/train2014/COCO_train2014_000000393286.jpg,0,83,0.42695759196716987,-0.93359375,bag,0,,,,,,,,,,,,,,,,,,,,,,,,
83,other,Is this train headed towards or from the orange building?,from,http://images.cocodataset.org/train2014/COCO_train2014_000000000071.jpg,0,147,0.5463264882853499,-0.80078125,from,0,,,,,,,,,,,,,,,,,,,,,,,,
84,other,What is the giraffe eating?,leaves,http://images.cocodataset.org/train2014/COCO_train2014_000000000072.jpg,0,82,0.3248974424721419,-0.421875,leaves,0,,,,,,,,,,,,,,,,,,,,,,,,
85,other,What is on the woman's neck?,necklace,http://images.cocodataset.org/train2014/COCO_train2014_000000393290.jpg,1,109,0.5278690554690161,-0.2080078125,neck,1,15.0,0.1175146492102455,0.8024677973715656,,,,,,,,,,,,,,,,,,,,,
86,other,What item is folded up and sitting on the edge of the shower stall?,towel,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,70,0.35577273003023824,-0.2373046875,to,0,,,,,,,,,,,,,,,,,,,,,,,,
87,other,What pattern is on the shower curtain?,solid,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,122,0.4261138920808269,-0.671875,solid,0,,,,,,,,,,,,,,,,,,,,,,,,
88,other,What are the colors of the countertop?,brown,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,116,0.4442458024330497,-0.43359375,brown,0,,,,,,,,,,,,,,,,,,,,,,,,
89,other,What is the person on the right called?,referee,http://images.cocodataset.org/train2014/COCO_train2014_000000262221.jpg,0,45,0.34378181866041896,-1.0546875,ump,0,,,,,,,,,,,,,,,,,,,,,,,,
90,other,What time does the clock say?,8:00,http://images.cocodataset.org/train2014/COCO_train2014_000000000078.jpg,0,24,0.12500099565819783,-0.462890625,1,0,,,,,,,,,,,,,,,,,,,,,,,,
91,other,What is the last letter over the plane?,e,http://images.cocodataset.org/train2014/COCO_train2014_000000000081.jpg,0,33,0.182732505561729,-1.0546875,e,0,,,,,,,,,,,,,,,,,,,,,,,,
92,other,What is the number on the mailbox?,24,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,1,92,0.9852747127541929,-0.59765625,3,1,18.0,0.012537461756642452,0.9910760598382222,,,,,,,,,,,,,,,,,,,,,
93,other,What are the animals doing?,grazing,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg,1,47,0.3248583361976506,-0.5703125,gra,1,16.0,0.21430836794676755,0.954434002924965,,,,,,,,,,,,,,,,,,,,,
94,other,What breed of livestock is shown?,sheep,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg,1,117,0.46949754619412876,-0.2578125,sheep,1,16.0,0.12803024988099074,0.7743974703476992,,,,,,,,,,,,,,,,,,,,,
95,other,What language is the sign written in?,spanish,http://images.cocodataset.org/train2014/COCO_train2014_000000131160.jpg,1,103,0.9900383805609195,-1.78125,turkish,1,18.0,0.01393398172773536,0.8527924884900406,,,,,,,,,,,,,,,,,,,,,
96,other,How has the cheese been prepared?,melted,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,104,0.4238084797653114,-1.0703125,mel,0,,,,,,,,,,,,,,,,,,,,,,,,
97,other,What is the cutting board used for in this scene?,plate,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,62,0.38875274696609896,-1.40625,plate,0,,,,,,,,,,,,,,,,,,,,,,,,
98,other,Of what meal is this kind of food typical?,lunch,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,109,0.6720100376904038,-0.51953125,lunch,0,,,,,,,,,,,,,,,,,,,,,,,,
99,other,What type of food is shown?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,114,0.48987978871390025,-0.72265625,hot,1,16.0,0.06568141953840403,0.9414280318460244,,,,,,,,,,,,,,,,,,,,,
100,other,What is the topping on the hot dog?,peppers,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,108,0.46262994139772445,-0.6328125,on,1,16.0,0.09599303867092637,0.5435644431995964,,,,,,,,,,,,,,,,,,,,,
101,other,What topping is on the hot dog?,onions,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,116,0.5206903905191743,-0.69140625,on,1,18.0,0.06319180890523061,0.9206250851407773,,,,,,,,,,,,,,,,,,,,,
102,other,What is in the small container?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,118,0.4822513195374095,-0.89453125,butter,1,18.0,0.07562153885035137,0.9388201415867106,,,,,,,,,,,,,,,,,,,,,
103,other,What are the components of this dish?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,100,0.49361981174871133,-0.51953125,hot,1,15.0,0.08921520176890414,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,
104,other,How delicious does this look?,very,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,84,0.47619829650193474,-0.65625,very,0,,,,,,,,,,,,,,,,,,,,,,,,
105,other,What two vegetables are in the white bowl?,none,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,130,0.5041858340857379,-1.2265625,on,0,,,,,,,,,,,,,,,,,,,,,,,,
106,other,What type of filling is in the dish on the bottom left?,mayonnaise,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,3,110,0.5459378333994516,-1.7734375,butter,3,17.0,0.04814203210065164,0.9967828263127351,15.0,0.08872398329976416,15.0,0.05237085157847546,,,0.7835807040488099,0.9877812438119247,,,,,,,,,,,,,
107,other,What is the yellow stuff in a bowl?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,2,130,0.5087556236307165,-0.76171875,butter,2,21.0,0.06523866738745253,0.9314107237997671,15.0,0.055780497469094165,,,,,0.9500685975366211,,,,,,,,,,,,,,
108,other,What is the hot dog sitting on top of?,bun,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,84,0.3840852807015177,-0.546875,bun,1,15.0,0.1828753997792646,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,
109,other,What are the orange things?,sweet potato fries,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,54,0.43619131562379354,-0.43359375,fries,0,,,,,,,,,,,,,,,,,,,,,,,,
110,other,Are the carrots diced or cut long ways?,long ways,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,2,122,0.617963167038588,-0.57421875,cut,2,34.0,0.025388460151189562,0.9503435562077922,16.0,0.04210647443835157,,,,,1.0,,,,,,,,,,,,,,
111,other,What is in the cup?,mayo,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,112,0.43129720360658985,-0.71875,butter,1,18.0,0.11354438533826484,0.8588801260706667,,,,,,,,,,,,,,,,,,,,,
112,other,What is the orange root called?,sweet potato,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,137,0.7749099405070672,-1.28125,sweet,0,,,,,,,,,,,,,,,,,,,,,,,,
113,other,What is the blackened meat on the bread?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,129,0.5190794599086682,-1.46875,hot,1,16.0,0.05678241556981896,0.9414280318460245,,,,,,,,,,,,,,,,,,,,,
114,other,What is on the sandwich?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,128,0.40917398475302497,-1.25,on,0,,,,,,,,,,,,,,,,,,,,,,,,
115,other,What animal is on the plate?,pig,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,79,0.715122316057937,-1.328125,none,0,,,,,,,,,,,,,,,,,,,,,,,,
116,other,What is on the hotdog?,onions,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,103,0.4257960372178676,-0.5,on,0,,,,,,,,,,,,,,,,,,,,,,,,
117,other,What two vegetables can be seen on the pizza?,none,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,107,0.4366444891975697,-1.5,on,0,,,,,,,,,,,,,,,,,,,,,,,,
118,other,What condiment is on the potatoes?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,90,0.8501497627981459,-1.09375,pars,1,16.0,0.04034131881324776,0.8957541375001011,,,,,,,,,,,,,,,,,,,,,
119,other,What sauces are shown?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,2,128,0.5152645073573267,-1.4140625,may,2,34.0,0.058319761257357126,0.8202370748401807,16.0,0.05225635177949515,,,,,0.8950145145731531,,,,,,,,,,,,,,
120,other,What is mainly featured?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,123,0.43754999925927796,-0.72265625,hot,0,,,,,,,,,,,,,,,,,,,,,,,,
121,other,What is the pattern on the vase?,floral,http://images.cocodataset.org/train2014/COCO_train2014_000000393306.jpg,0,132,0.5647037809364213,-0.609375,floral,0,,,,,,,,,,,,,,,,,,,,,,,,
122,other,What is the primary color of the bathroom?,yellow,http://images.cocodataset.org/train2014/COCO_train2014_000000262159.jpg,0,136,0.5670514488079308,-0.439453125,yellow,0,,,,,,,,,,,,,,,,,,,,,,,,
123,other,What is printed on the orange sign?,pizza,http://images.cocodataset.org/train2014/COCO_train2014_000000000094.jpg,0,124,0.9643261592103275,-2.265625,hotel,0,,,,,,,,,,,,,,,,,,,,,,,,
