image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_1_entropy,cluster_2_n_points,cluster_2_avg_strength,cluster_2_entropy,cluster_3_n_points,cluster_3_avg_strength,cluster_3_entropy,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy
25,other,What is the dog riding on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,41,0.3800781537170302,-0.11572265625,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
26,other,What is in the water?,dog,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,0,30,0.2876670130173856,-0.78125,surf,0,,,,,,,,,,,,,,,,,,,,,,,,
27,other,"What does the green light, on the TV, indicate?",on,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,46,0.35637341453631927,-1.5859375,power,0,,,,,,,,,,,,,,,,,,,,,,,,
28,other,What room of the house is this?,office,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,52,0.4038575889955438,-0.421875,office,0,,,,,,,,,,,,,,,,,,,,,,,,
29,other,What is the size of the TV?,large,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,50,0.4100026123800471,-1.3046875,un,0,,,,,,,,,,,,,,,,,,,,,,,,
30,other,How big is the TV?,very big,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,76,0.47428161646613676,-1.578125,un,0,,,,,,,,,,,,,,,,,,,,,,,,
31,other,What companion object to the TV can be seen in the bottom right of the picture?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,45,0.6757943853007763,-0.54296875,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,
32,other,What is the small computer on the left called?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,39,0.9878944557918816,-0.52734375,laptop,0,,,,,,,,,,,,,,,,,,,,,,,,
33,other,What is above the TV?,vent,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,31,0.2881205347238381,-0.69921875,ceiling,0,,,,,,,,,,,,,,,,,,,,,,,,
34,other,What is on the display?,document,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,110,0.3220704029064918,-1.8359375,un,0,,,,,,,,,,,,,,,,,,,,,,,,
35,other,Is it a monitor or a screen projection?,screen projection,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,101,0.9624089709930673,-0.427734375,screen,0,,,,,,,,,,,,,,,,,,,,,,,,
36,other,What is on the TV screen?,computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,79,0.3378794540352954,-1.8671875,un,0,,,,,,,,,,,,,,,,,,,,,,,,
37,other,What is the title of the presentation in the picture?,outlook web app,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,76,0.9856801500837886,-1.1953125,cultural,1,15.0,0.01692784928671257,0.7835807040488099,,,,,,,,,,,,,,,,,,,,,
38,other,What is the man playing?,wii,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,109,0.5285911216284942,-0.29296875,wii,0,,,,,,,,,,,,,,,,,,,,,,,,
39,other,What does the man have on his face?,glasses,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,0,62,0.6130182786477029,-0.1982421875,glasses,0,,,,,,,,,,,,,,,,,,,,,,,,
40,other,What is in front of the giraffes?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,51,0.32965880092657335,-1.359375,log,0,,,,,,,,,,,,,,,,,,,,,,,,
41,other,What do these giraffes have in common?,eating,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,68,0.34743558084715936,-1.2890625,tall,0,,,,,,,,,,,,,,,,,,,,,,,,
42,other,What is the giraffe standing behind?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,52,0.37776673776571845,-0.92578125,tree,0,,,,,,,,,,,,,,,,,,,,,,,,
43,other,What is on the ground next to the giraffe on the right?,log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,0,41,0.29956084951975837,-1.09375,log,0,,,,,,,,,,,,,,,,,,,,,,,,
44,other,How is the man sitting?,cross legged,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,1,116,0.5789435723201657,-0.330078125,cross,1,17.0,0.05880278198570146,0.9774178175281716,,,,,,,,,,,,,,,,,,,,,
45,other,"What does the word in the upper-left corner, behind the window, translate to in English?",automatic,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,0,60,0.4304973889381136,-0.482421875,automatic,0,,,,,,,,,,,,,,,,,,,,,,,,
46,other,What type of watercraft is that?,raft,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg,0,59,0.46018808405097283,-0.6328125,raft,0,,,,,,,,,,,,,,,,,,,,,,,,
47,other,What is the vase sitting on?,railing,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,66,0.9601540161445072,-1.03125,fence,0,,,,,,,,,,,,,,,,,,,,,,,,
48,other,Is the sun to the right or left of this flower?,left,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,0,512,0.0,-0.73828125,right,0,,,,,,,,,,,,,,,,,,,,,,,,
49,other,What is the zebra eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,0,42,0.38325274672778814,-0.81640625,grass,0,,,,,,,,,,,,,,,,,,,,,,,,
50,other,What is the tree covered with?,wire,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,0,43,0.32028599741263675,-1.5,leaves,0,,,,,,,,,,,,,,,,,,,,,,,,
51,other,What is the animal eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,27,0.2488891950688295,-0.12451171875,grass,0,,,,,,,,,,,,,,,,,,,,,,,,
52,other,How old is animal?,10 years,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,0,126,0.3783967999685208,-1.8671875,1,0,,,,,,,,,,,,,,,,,,,,,,,,
53,other,What is the man holding?,knife,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,52,0.4505692601903496,-0.5078125,knife,0,,,,,,,,,,,,,,,,,,,,,,,,
54,other,What is the man cutting?,cake,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,0,52,0.4417465521724203,-0.1982421875,cake,0,,,,,,,,,,,,,,,,,,,,,,,,
55,other,What is the fruit?,banana,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,104,0.5891811698784925,-0.18359375,banana,1,17.0,0.08502333590578287,0.8516924496551459,,,,,,,,,,,,,,,,,,,,,
56,other,What is the name of the type of person that would make this food?,chef,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,0,47,0.3517759481939496,-1.2578125,chef,0,,,,,,,,,,,,,,,,,,,,,,,,
57,other,What type of ice cream is on the plate?,vanilla,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,1,103,0.43741869075851136,-0.3359375,vanilla,1,20.0,0.12892007551587295,0.8427376486136672,,,,,,,,,,,,,,,,,,,,,
58,other,Is this an indoor or outdoor photo?,outdoor,http://images.cocodataset.org/train2014/COCO_train2014_000000524325.jpg,0,102,0.4892079018049483,-0.2177734375,outdoor,0,,,,,,,,,,,,,,,,,,,,,,,,
59,other,What's missing from this hot dog?,mustard,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,0,51,0.44023711763920426,-1.015625,k,0,,,,,,,,,,,,,,,,,,,,,,,,
60,other,What is the hog dog sitting on?,bun,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg,0,50,0.403183490416672,-0.1474609375,nap,0,,,,,,,,,,,,,,,,,,,,,,,,
61,other,What is the sky full of?,clouds,http://images.cocodataset.org/train2014/COCO_train2014_000000262184.jpg,0,42,0.753790667107966,-0.2080078125,clouds,0,,,,,,,,,,,,,,,,,,,,,,,,
62,other,What is the color of the carpet?,brown,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg,1,106,0.5258058606453496,-0.76171875,brown,1,16.0,0.11154881026031638,0.954434002924965,,,,,,,,,,,,,,,,,,,,,
63,other,What shape are the windows on the side of the plane?,square,http://images.cocodataset.org/train2014/COCO_train2014_000000262187.jpg,0,44,0.3918437905157292,-1.5546875,rectangle,0,,,,,,,,,,,,,,,,,,,,,,,,
64,other,What is the website on the sign?,wmatacom,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg,0,35,0.29442559599456336,-0.9765625,w,0,,,,,,,,,,,,,,,,,,,,,,,,
65,other,What is the bear called?,teddy,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg,0,88,0.8966391575835908,-0.2421875,teddy,0,,,,,,,,,,,,,,,,,,,,,,,,
66,other,What type of tree is the man standing next to?,elm,http://images.cocodataset.org/train2014/COCO_train2014_000000524338.jpg,0,57,0.5097681237854421,-0.9921875,oak,0,,,,,,,,,,,,,,,,,,,,,,,,
67,other,What pattern is on the pants?,stripes,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,36,0.312872411987996,-1.1171875,stri,0,,,,,,,,,,,,,,,,,,,,,,,,
68,other,What sport is this person playing?,baseball,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,76,0.48228949264241217,-0.10693359375,baseball,0,,,,,,,,,,,,,,,,,,,,,,,,
69,other,What is the position of the player behind the batter called?,catcher,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg,0,39,0.4071820465690306,-0.1376953125,catcher,0,,,,,,,,,,,,,,,,,,,,,,,,
70,other,What are they drinking?,beer,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg,0,43,0.42397900889646767,-0.267578125,beer,0,,,,,,,,,,,,,,,,,,,,,,,,
71,other,What brand of beer is visible?,sierra nevada,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg,0,51,0.9943160115060843,-1.328125,bud,0,,,,,,,,,,,,,,,,,,,,,,,,
72,other,What logo is on the man's shirt?,nike,http://images.cocodataset.org/train2014/COCO_train2014_000000131127.jpg,0,69,0.5632033688227516,-0.5,nike,0,,,,,,,,,,,,,,,,,,,,,,,,
73,other,What direction is the bird looking?,right,http://images.cocodataset.org/train2014/COCO_train2014_000000262201.jpg,0,48,0.4253786932961888,-1.078125,right,0,,,,,,,,,,,,,,,,,,,,,,,,
74,other,What time of day is it?,morning,http://images.cocodataset.org/train2014/COCO_train2014_000000370986.jpg,0,90,0.5358755405318324,-1.25,afternoon,0,,,,,,,,,,,,,,,,,,,,,,,,
75,other,What type of plane is this?,propeller,http://images.cocodataset.org/train2014/COCO_train2014_000000131133.jpg,1,51,0.9454489148384625,-1.6796875,prop,1,18.0,0.026759041088482927,0.872009434056298,,,,,,,,,,,,,,,,,,,,,
76,other,What is in the picture?,clock,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg,0,78,0.4108989622248759,-0.1611328125,clock,0,,,,,,,,,,,,,,,,,,,,,,,,
77,other,What time is the clock showing?,6:10,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg,0,68,0.3765637909542597,-1.109375,1,0,,,,,,,,,,,,,,,,,,,,,,,,
78,other,What are the vases sitting on?,table,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg,0,36,0.24325045542046977,-0.91015625,table,0,,,,,,,,,,,,,,,,,,,,,,,,
79,other,What is the table made of?,wood,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg,0,38,0.37545351573968067,-0.142578125,wood,0,,,,,,,,,,,,,,,,,,,,,,,,
80,other,What is the green stuff on this pizza?,spinach,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg,1,42,0.4072682976116045,-0.8125,spin,1,15.0,0.1992233082171846,0.9182958340544896,,,,,,,,,,,,,,,,,,,,,
81,other,Is it thick or thin crust?,thick,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg,1,107,0.5333880409607701,-0.212890625,thick,1,15.0,0.0665973653520363,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,
82,other,What is the orange thing?,bag,http://images.cocodataset.org/train2014/COCO_train2014_000000393286.jpg,0,54,0.4269573259883855,-0.93359375,bag,0,,,,,,,,,,,,,,,,,,,,,,,,
83,other,Is this train headed towards or from the orange building?,from,http://images.cocodataset.org/train2014/COCO_train2014_000000000071.jpg,0,77,0.5463256463342284,-0.80078125,from,0,,,,,,,,,,,,,,,,,,,,,,,,
84,other,What is the giraffe eating?,leaves,http://images.cocodataset.org/train2014/COCO_train2014_000000000072.jpg,0,80,0.32483444257885374,-0.421875,leaves,0,,,,,,,,,,,,,,,,,,,,,,,,
85,other,What is on the woman's neck?,necklace,http://images.cocodataset.org/train2014/COCO_train2014_000000393290.jpg,0,54,0.5278432354415291,-0.2080078125,neck,0,,,,,,,,,,,,,,,,,,,,,,,,
86,other,What item is folded up and sitting on the edge of the shower stall?,towel,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,39,0.35576548695099736,-0.2373046875,to,0,,,,,,,,,,,,,,,,,,,,,,,,
87,other,What pattern is on the shower curtain?,solid,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,45,0.4258654709524521,-0.671875,solid,0,,,,,,,,,,,,,,,,,,,,,,,,
88,other,What are the colors of the countertop?,brown,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg,0,55,0.4442394744640281,-0.43359375,brown,0,,,,,,,,,,,,,,,,,,,,,,,,
89,other,What is the person on the right called?,referee,http://images.cocodataset.org/train2014/COCO_train2014_000000262221.jpg,0,38,0.3435952333686648,-1.0546875,ump,0,,,,,,,,,,,,,,,,,,,,,,,,
90,other,What time does the clock say?,8:00,http://images.cocodataset.org/train2014/COCO_train2014_000000000078.jpg,0,4,0.125,-0.462890625,1,0,,,,,,,,,,,,,,,,,,,,,,,,
91,other,What is the last letter over the plane?,e,http://images.cocodataset.org/train2014/COCO_train2014_000000000081.jpg,0,17,0.18273255648718653,-1.0546875,e,0,,,,,,,,,,,,,,,,,,,,,,,,
92,other,What is the number on the mailbox?,24,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg,0,512,0.0,-0.59765625,3,0,,,,,,,,,,,,,,,,,,,,,,,,
93,other,What are the animals doing?,grazing,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg,0,35,0.32478061746735687,-0.5703125,gra,0,,,,,,,,,,,,,,,,,,,,,,,,
94,other,What breed of livestock is shown?,sheep,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg,1,81,0.4543076588615611,-0.2578125,sheep,1,16.0,0.12944716591430608,0.954434002924965,,,,,,,,,,,,,,,,,,,,,
95,other,What language is the sign written in?,spanish,http://images.cocodataset.org/train2014/COCO_train2014_000000131160.jpg,1,85,0.9903598560542655,-1.78125,turkish,1,18.0,0.0137262599538072,0.8527924884900406,,,,,,,,,,,,,,,,,,,,,
96,other,How has the cheese been prepared?,melted,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,60,0.423763190617022,-1.0703125,mel,0,,,,,,,,,,,,,,,,,,,,,,,,
97,other,What is the cutting board used for in this scene?,plate,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,51,0.38875498714597484,-1.40625,plate,0,,,,,,,,,,,,,,,,,,,,,,,,
98,other,Of what meal is this kind of food typical?,lunch,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,69,0.6352911188634044,-0.51953125,lunch,0,,,,,,,,,,,,,,,,,,,,,,,,
99,other,What type of food is shown?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,82,0.4895193585840789,-0.72265625,hot,0,,,,,,,,,,,,,,,,,,,,,,,,
100,other,What is the topping on the hot dog?,peppers,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,57,0.4626307663288049,-0.6328125,on,0,,,,,,,,,,,,,,,,,,,,,,,,
101,other,What topping is on the hot dog?,onions,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,98,0.5206887627405855,-0.69140625,on,0,,,,,,,,,,,,,,,,,,,,,,,,
102,other,What is in the small container?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,60,0.4797573008563353,-0.89453125,butter,0,,,,,,,,,,,,,,,,,,,,,,,,
103,other,What are the components of this dish?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,90,0.493609188708503,-0.51953125,hot,1,15.0,0.08921560183308766,0.9018972358711528,,,,,,,,,,,,,,,,,,,,,
104,other,How delicious does this look?,very,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,78,0.47595683455025234,-0.65625,very,0,,,,,,,,,,,,,,,,,,,,,,,,
105,other,What two vegetables are in the white bowl?,none,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,100,0.5041766292856139,-1.2265625,on,0,,,,,,,,,,,,,,,,,,,,,,,,
106,other,What type of filling is in the dish on the bottom left?,mayonnaise,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,82,0.5445295336518702,-1.7734375,butter,0,,,,,,,,,,,,,,,,,,,,,,,,
107,other,What is the yellow stuff in a bowl?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,2,120,0.5085941652145419,-0.76171875,butter,2,21.0,0.06524403494232964,0.9314107237997671,15.0,0.055785297567987335,0.9500685975366211,,,,,,,,,,,,,,,,,,
108,other,What is the hot dog sitting on top of?,bun,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,44,0.38410442247257975,-0.546875,bun,0,,,,,,,,,,,,,,,,,,,,,,,,
109,other,What are the orange things?,sweet potato fries,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,54,0.43545045585238684,-0.43359375,fries,0,,,,,,,,,,,,,,,,,,,,,,,,
110,other,Are the carrots diced or cut long ways?,long ways,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,2,122,0.6179631250724528,-0.57421875,cut,2,34.0,0.025388460419344415,0.9503435562077922,16.0,0.042106474917350464,1.0,,,,,,,,,,,,,,,,,,
111,other,What is in the cup?,mayo,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,56,0.4283672986567972,-0.71875,butter,1,18.0,0.11376057874875263,0.8588801260706667,,,,,,,,,,,,,,,,,,,,,
112,other,What is the orange root called?,sweet potato,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,93,0.7752126605115144,-1.28125,sweet,0,,,,,,,,,,,,,,,,,,,,,,,,
113,other,What is the blackened meat on the bread?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,83,0.5190621501028623,-1.46875,hot,1,16.0,0.056782880619076645,0.9414280318460245,,,,,,,,,,,,,,,,,,,,,
114,other,What is on the sandwich?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,51,0.4091733400398999,-1.25,on,0,,,,,,,,,,,,,,,,,,,,,,,,
115,other,What animal is on the plate?,pig,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,66,0.7150627156751495,-1.328125,none,0,,,,,,,,,,,,,,,,,,,,,,,,
116,other,What is on the hotdog?,onions,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,61,0.42579459948760684,-0.5,on,0,,,,,,,,,,,,,,,,,,,,,,,,
117,other,What two vegetables can be seen on the pizza?,none,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,61,0.4366486715769793,-1.5,on,0,,,,,,,,,,,,,,,,,,,,,,,,
118,other,What condiment is on the potatoes?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,82,0.8501394753055408,-1.09375,pars,0,,,,,,,,,,,,,,,,,,,,,,,,
119,other,What sauces are shown?,butter,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,1,92,0.5147944031428926,-1.4140625,may,1,34.0,0.05833709773791164,0.8202370748401807,,,,,,,,,,,,,,,,,,,,,
120,other,What is mainly featured?,hot dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg,0,54,0.43755796023018934,-0.72265625,hot,0,,,,,,,,,,,,,,,,,,,,,,,,
121,other,What is the pattern on the vase?,floral,http://images.cocodataset.org/train2014/COCO_train2014_000000393306.jpg,0,110,0.563151877294448,-0.609375,floral,0,,,,,,,,,,,,,,,,,,,,,,,,
122,other,What is the primary color of the bathroom?,yellow,http://images.cocodataset.org/train2014/COCO_train2014_000000262159.jpg,0,134,0.5669716996672421,-0.439453125,yellow,0,,,,,,,,,,,,,,,,,,,,,,,,
123,other,What is printed on the orange sign?,pizza,http://images.cocodataset.org/train2014/COCO_train2014_000000000094.jpg,0,64,0.9643015519279037,-2.265625,hotel,0,,,,,,,,,,,,,,,,,,,,,,,,
124,other,What is the name of the hotel?,peace way,http://images.cocodataset.org/train2014/COCO_train2014_000000000094.jpg,0,90,0.43127609591665145,-0.08154296875,peace,0,,,,,,,,,,,,,,,,,,,,,,,,
125,other,What mode of transportation is pictured?,car,http://images.cocodataset.org/train2014/COCO_train2014_000000000094.jpg,0,132,0.506423804779643,-0.416015625,car,0,,,,,,,,,,,,,,,,,,,,,,,,
126,other,What airline is this?,everts air cargo,http://images.cocodataset.org/train2014/COCO_train2014_000000393311.jpg,0,61,0.986523677571813,-1.1640625,cargo,0,,,,,,,,,,,,,,,,,,,,,,,,
127,other,The plane's stand resembles what letter?,a,http://images.cocodataset.org/train2014/COCO_train2014_000000393311.jpg,0,40,0.3800109162881315,-1.8359375,letter,0,,,,,,,,,,,,,,,,,,,,,,,,
