image_id,question_type,question,ground_truth,image_url,n_clusters,n_noise,attention_entropy,token_confidence,predicted_token,cluster_count,cluster_0_n_points,cluster_0_avg_strength,cluster_0_entropy,cluster_1_n_points,cluster_1_avg_strength,cluster_2_n_points,cluster_2_avg_strength,cluster_3_n_points,cluster_3_avg_strength,cluster_4_n_points,cluster_4_avg_strength,cluster_5_n_points,cluster_5_avg_strength,cluster_6_n_points,cluster_6_avg_strength,cluster_7_n_points,cluster_7_avg_strength,cluster_8_n_points,cluster_8_avg_strength,cluster_9_n_points,cluster_9_avg_strength,cluster_10_n_points,cluster_10_avg_strength,cluster_11_n_points,cluster_11_avg_strength,cluster_1_entropy,cluster_2_entropy,cluster_3_entropy,cluster_4_entropy,cluster_5_entropy,cluster_6_entropy,cluster_7_entropy,cluster_8_entropy,cluster_9_entropy,cluster_10_entropy,cluster_11_entropy,cluster_12_n_points,cluster_12_avg_strength,cluster_12_entropy,cluster_13_n_points,cluster_13_avg_strength,cluster_13_entropy
24,other,What is she holding?,poles,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg,7,204,0.9985880257032136,-0.45861849188804626,Ski,7,54.0,0.0018503838980275101,0.9616147884632652,16.0,0.0018848888973014733,20.0,0.0018592247955955428,17.0,0.0018496636024685528,9.0,0.001834136333036031,58.0,0.0018560813345862846,25.0,0.0018449140299549585,,,,,,,,,,,0.954434002924965,0.9304820237218405,0.9771236998460402,0.9656336071428252,0.9573989077873268,0.9543073978906051,,,,,,,,,,,
25,other,What is the dog riding on?,surfboard,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,7,161,0.9988349230003291,-0.04244949296116829,Sur,7,51.0,0.0019469890199635249,0.9527817168340403,15.0,0.0019256985746384898,23.0,0.001938754963352224,16.0,0.0019404148367470192,18.0,0.0019514056154458072,146.0,0.001938535021581216,45.0,0.0019410995694977065,,,,,,,,,,,0.9609640474436811,0.9673629259545933,0.9965119062478288,0.9915323997298832,0.9888040901090206,0.9833561991788737,,,,,,,,,,,
26,other,What is in the water?,dog,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg,2,214,0.9974702012078384,-0.39782997965812683,Sur,2,63.0,0.0031186616419078914,0.9541529671119195,27.0,0.002658031733534625,,,,,,,,,,,,,,,,,,,,,0.9643682935866033,,,,,,,,,,,,,,,,
27,other,"What does the green light, on the TV, indicate?",on,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,8,251,0.9957883191338562,-0.9904668927192688,The,8,49.0,0.002475752556078558,0.9548335244762229,32.0,0.002407040052357112,15.0,0.0025589546381326166,27.0,0.0024561379595824133,16.0,0.0025031799900619065,24.0,0.0024254995192115538,50.0,0.002525300640810561,24.0,0.002499917947395507,,,,,,,,,0.9444108295379132,0.9967916319816366,0.9082192657503421,0.8957541375001011,0.9398009074013692,0.9715421672257217,0.9515535841814056,,,,,,,,,,
28,other,What room of the house is this?,office,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,6,122,0.9909698716979309,-0.3292185366153717,Office,6,58.0,0.0024286200231725128,0.9807991742321365,293.0,0.0024928885072283856,11.0,0.0023672030875145278,11.0,0.0024578054401288283,28.0,0.0024334328356675145,15.0,0.0025275799699038134,,,,,,,,,,,,,0.9817180431585336,0.9713067383178076,0.9940302114769565,0.9840134433076082,0.8443536850036222,,,,,,,,,,,,
29,other,What is the size of the TV?,large,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,0,344,0.9990291826953909,-0.44768816232681274,Lar,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,other,How big is the TV?,very big,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,3,315,0.9988401474315176,-0.7300753593444824,Lar,3,23.0,0.002013182116172487,0.9765762937075554,20.0,0.0020373910093784316,16.0,0.001970412011106389,,,,,,,,,,,,,,,,,,,0.9835386311891134,0.9248008763572907,,,,,,,,,,,,,,,
31,other,What companion object to the TV can be seen in the bottom right of the picture?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,4,193,0.9916373058769276,-0.5811519622802734,La,4,18.0,0.0036692939216985874,0.9535998353544741,106.0,0.00407014439873043,21.0,0.004531547203424141,18.0,0.003862245985085808,,,,,,,,,,,,,,,,,0.9678095134410207,0.8907082013105603,0.9206250851407773,,,,,,,,,,,,,,
32,other,What is the small computer on the left called?,laptop,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,4,204,0.9975175497552704,-0.6766418218612671,La,4,25.0,0.0027537794044816583,0.9393705765331458,102.0,0.0026822305972291224,23.0,0.0026405007943149606,11.0,0.002685269325758202,,,,,,,,,,,,,,,,,0.9722579248221281,0.9443479439410531,0.9940302114769565,,,,,,,,,,,,,,
33,other,What is above the TV?,vent,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,4,194,0.9979405212820517,-0.30137139558792114,Project,4,130.0,0.0021080317020664065,0.9799219668325821,16.0,0.002121059689397563,15.0,0.0020436117144051955,22.0,0.0021582712197587782,,,,,,,,,,,,,,,,,0.875,0.9859247724121322,0.9292776059351573,,,,,,,,,,,,,,
34,other,What is on the display?,document,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,5,221,0.9190659139439186,-1.0193549394607544,Out,5,113.0,0.007975090889651995,0.9613383895177444,12.0,0.006966274071659208,22.0,0.004903340173533487,21.0,0.008925059608046607,23.0,0.008422086072453837,,,,,,,,,,,,,,,0.9358932809493993,0.9673124750084657,0.9164299980118937,0.9244732696028456,,,,,,,,,,,,,
35,other,Is it a monitor or a screen projection?,screen projection,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,3,256,0.9614641687488268,-0.6383779644966125,Screen,3,68.0,0.0075162104197005674,0.9573421025733717,16.0,0.00461359435395642,19.0,0.005680507122212302,,,,,,,,,,,,,,,,,,,0.9283832117695864,0.9224323529821663,,,,,,,,,,,,,,,
36,other,What is on the TV screen?,computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,6,213,0.9313765170092707,-1.16265869140625,Out,6,113.0,0.007307446308645771,0.962522971749699,13.0,0.0066521794713054975,10.0,0.0031890461069801175,22.0,0.004579036681157728,21.0,0.008075684061790551,24.0,0.007802049539854726,,,,,,,,,,,,,0.9214632400757701,0.9854752972273344,0.9673124750084657,0.9164299980118937,0.9192496137328233,,,,,,,,,,,,
37,other,What is the title of the presentation in the picture?,outlook web app,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg,1,258,0.9919200453683981,-0.6359298229217529,Out,1,16.0,0.002915383534213022,0.9618974703476992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,other,What is the man playing?,wii,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,2,210,0.9885927487701756,-0.33083853125572205,W,2,86.0,0.0041404774378396595,0.9560571550506849,16.0,0.0036441219194374985,,,,,,,,,,,,,,,,,,,,,0.9248008763572906,,,,,,,,,,,,,,,,
39,other,What does the man have on his face?,glasses,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg,8,335,0.9993926348296631,-0.3657515048980713,G,8,47.0,0.0017853692889376995,0.9576330219254543,21.0,0.0017821742359414312,29.0,0.0017826550263445855,15.0,0.0017851803618059048,73.0,0.0017831357354000108,22.0,0.0017823846042533474,17.0,0.001783173840320053,18.0,0.001783386122156101,,,,,,,,,0.9849500113113598,0.952425013614611,0.9967916319816366,0.9835417672133074,0.9023079388127894,0.9360847109776411,0.9728825026363701,,,,,,,,,,
40,other,What is in front of the giraffes?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,5,160,0.9976991361815686,-1.0163557529449463,Log,5,16.0,0.002415628528954629,0.9886085007312413,23.0,0.0026263387760258523,96.0,0.0029762258285410555,20.0,0.0023391671171241993,15.0,0.002312877477749901,,,,,,,,,,,,,,,0.9841517646228418,0.9492099665624473,0.961513096044501,0.9949490477321437,,,,,,,,,,,,,
41,other,What do these giraffes have in common?,eating,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,5,247,0.9985519988783484,-1.6401653289794922,They,5,28.0,0.002283144525112649,0.9938747069399737,27.0,0.0023368200921937803,15.0,0.0021127523324810152,11.0,0.0022466877057272737,32.0,0.002248345473100442,,,,,,,,,,,,,,,0.8883490448731365,0.982798115178801,0.9940302114769565,0.9541824894160462,,,,,,,,,,,,,
42,other,What is the giraffe standing behind?,tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,2,231,0.9976981555527135,-1.014675498008728,Log,2,16.0,0.0027172247458516416,0.949701216438411,33.0,0.0029478790393002094,,,,,,,,,,,,,,,,,,,,,0.973259728348879,,,,,,,,,,,,,,,,
43,other,What is on the ground next to the giraffe on the right?,log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg,5,212,0.9986073015463922,-0.6021549701690674,Log,5,108.0,0.002227609866600069,0.9695047793865402,9.0,0.002108265124713979,81.0,0.002188601107741544,15.0,0.001988024570610631,18.0,0.0020770218501144143,,,,,,,,,,,,,,,0.9182958340544896,0.9718207283266013,0.9718495448242642,0.9955380299191112,,,,,,,,,,,,,
44,other,How is the man sitting?,cross legged,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,7,235,0.9979156161459232,-1.583821177482605,On,7,24.0,0.0021366194806893917,0.9119543649294083,69.0,0.0021001029147664713,27.0,0.0020909035016043426,16.0,0.0020721074192878736,51.0,0.002083665719034509,6.0,0.0020167662843525377,25.0,0.002125233831259865,,,,,,,,,,,0.9816181888975881,0.9743163353697012,0.9528195311147832,0.9745724829150421,1.0,0.9598206673056707,,,,,,,,,,,
45,other,"What does the word in the upper-left corner, behind the window, translate to in English?",automatic,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg,5,236,0.987522810833606,-0.41282013058662415,Autom,5,69.0,0.003012759585476789,0.9738148470063052,20.0,0.003046850742356719,30.0,0.0032164393946752445,17.0,0.002792052019684911,16.0,0.0038725620593722644,,,,,,,,,,,,,,,0.9403319177008926,0.9313134025058285,0.9719977955078916,0.954434002924965,,,,,,,,,,,,,
46,other,What type of watercraft is that?,raft,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg,3,237,0.99903242219815,-0.5865410566329956,Bo,3,80.0,0.001968475419302601,0.9703485944213184,31.0,0.001977913789791066,41.0,0.002002965113770325,,,,,,,,,,,,,,,,,,,0.9310362060462597,0.9766979248293577,,,,,,,,,,,,,,,
47,other,What is the vase sitting on?,railing,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,5,236,0.9986204783308452,-1.2221364974975586,Table,5,127.0,0.002109660678058482,0.970467395451186,23.0,0.0020457292791556197,11.0,0.0020152775294782687,16.0,0.002143825813161774,16.0,0.0019962103312984943,,,,,,,,,,,,,,,0.9841517646228418,0.9713067383178076,0.8194483718728035,0.9592101522724052,,,,,,,,,,,,,
48,other,Is the sun to the right or left of this flower?,left,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg,8,174,0.9982359340697369,-0.46742308139801025,Left,8,50.0,0.0021073757876798344,0.9578737774786394,9.0,0.002004970786320465,34.0,0.0020543443915391328,11.0,0.00209909233163152,20.0,0.00214961985350737,59.0,0.0020054540333427078,16.0,0.00202162522397963,16.0,0.0020275437486500865,,,,,,,,,0.9656336071428251,0.9792171830657913,0.9940302114769565,0.8427376486136672,0.9799075426691864,0.9592101522724051,0.9886085007312413,,,,,,,,,,
49,other,What is the zebra eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,11,230,0.999606105846903,-1.386210560798645,Le,11,28.0,0.001831886680759506,0.9806758027350554,20.0,0.001859163751341549,29.0,0.001852201265166519,40.0,0.001842210071864325,62.0,0.0018397419653249619,23.0,0.0018403153803827242,17.0,0.0018288934130277945,18.0,0.0018427516988820396,16.0,0.001845624433409235,9.0,0.0018160431925025877,22.0,0.0018480116709141778,,,0.9197173235750933,0.9239223761595892,0.949243640706387,0.9683403390594321,0.992638795254511,0.9519839065438831,0.8962406251802889,0.8620485698650454,0.9057125980138372,0.9283266063904658,,,,,,,
50,other,What is the tree covered with?,wire,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg,7,215,0.9913678475464228,-0.41049450635910034,Le,7,42.0,0.002409470654511995,0.9814867603669302,75.0,0.002414008123075748,38.0,0.0023805050287822706,21.0,0.0023710198564007266,36.0,0.0023860557468912305,20.0,0.002388402970275783,20.0,0.0023946619951037956,,,,,,,,,,,0.9616994682695974,0.9776372976668728,0.9722983600493944,0.974291176503168,0.9927376486136672,0.9763620978123273,,,,,,,,,,,
51,other,What is the animal eating?,grass,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,4,248,0.9948240071864202,-0.1645319163799286,Gr,4,25.0,0.0020524038704226237,1.0,31.0,0.0020379050627911777,26.0,0.002027700124903325,28.0,0.0020245105330105612,,,,,,,,,,,,,,,,,0.9942007542282729,0.9896395213206991,0.9923242073613431,,,,,,,,,,,,,,
52,other,How old is animal?,10 years,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg,5,295,0.9976504986740578,-0.7501601576805115,Young,5,15.0,0.002127337243305506,0.9877812438119247,11.0,0.002088760330247043,15.0,0.0020557619056915774,21.0,0.002226154731585069,28.0,0.0021565659645980902,,,,,,,,,,,,,,,0.9056185178648963,0.9949490477321437,0.842092868454217,0.9894065290848518,,,,,,,,,,,,,
53,other,What is the man holding?,knife,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,4,181,0.9890654666745411,-1.4746310710906982,Kn,4,76.0,0.0025231674664061956,0.9855183782001604,122.0,0.0025710083587643577,20.0,0.0025878499641277465,19.0,0.0024975211518129484,,,,,,,,,,,,,,,,,0.9834799700549237,1.0,0.996352882445333,,,,,,,,,,,,,,
54,other,What is the man cutting?,cake,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg,10,232,0.9991172113510939,-0.12633240222930908,C,10,42.0,0.0019654787299238636,0.9875870290688522,16.0,0.0020071166699090807,15.0,0.0020038777878682197,16.0,0.0019506758945255168,24.0,0.0019205357205775342,16.0,0.00192653240303268,8.0,0.001903622061109259,33.0,0.001891567788949344,17.0,0.0019477090579974909,20.0,0.0019678517214420073,,,,,0.9886994082884974,0.9182958340544896,0.985056822321508,0.9560107101418428,0.9248008763572907,0.954434002924965,0.9792194736588163,0.9967828263127351,0.8911143594569009,,,,,,,,
55,other,What is the fruit?,banana,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,5,290,0.9965026504891197,-0.034152258187532425,Ban,5,16.0,0.002223726099565955,0.9886085007312413,27.0,0.0022540336181915564,39.0,0.0022745751859030044,52.0,0.0023266781418153017,17.0,0.002295899675563679,,,,,,,,,,,,,,,0.9749158709665854,0.9699953434350904,0.983577068423504,0.9256134079485958,,,,,,,,,,,,,
56,other,What is the name of the type of person that would make this food?,chef,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,4,291,0.9977206773389128,-0.2514694631099701,Che,4,46.0,0.0022734167128824786,0.9379810943999064,17.0,0.00221625739697532,15.0,0.0021745099684178956,20.0,0.002228917438940296,,,,,,,,,,,,,,,,,0.9770358764490155,0.8616157143988104,0.9288587345650742,,,,,,,,,,,,,,
57,other,What type of ice cream is on the plate?,vanilla,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg,6,210,0.996190619118461,-0.7709563970565796,Van,6,16.0,0.002362814722125018,0.9414280318460245,39.0,0.0024142588043818873,17.0,0.0022909075839783214,6.0,0.0022627329200035997,40.0,0.0023123495220951154,50.0,0.0022887135712593727,,,,,,,,,,,,,0.9375127829937075,0.9503435562077924,0.9182958340544896,0.9729798683735963,0.9819648146778504,,,,,,,,,,,,
