question_type,question,prefix,prompt,ground_truth,top_4_tokens,model_answer,image_url
other,What is the business man doing in the picture?,Answer:,Answer with one word: What is the business man doing in the picture? What is the business man doing in the picture? Answer:,frowning,"[""Looking"", ""What"", ""M"", ""F""]",Looking,http://images.cocodataset.org/train2014/COCO_train2014_000000393224.jpg
other,What is the man riding on?,Answer:,Answer with one word: What is the man riding on? What is the man riding on? Answer:,motorcycle,"[""Motor"", ""Mot"", ""What"", ""D""]",Motor,http://images.cocodataset.org/train2014/COCO_train2014_000000131084.jpg
other,What is on the pillow?,Answer:,Answer with one word: What is on the pillow? What is on the pillow? Answer:,gray,"[""Tag"", ""Bag"", ""Card"", ""Phone""]",Tag,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg
other,What is sitting on the bench?,Answer:,Answer with one word: What is sitting on the bench? What is sitting on the bench? Answer:,purse,"[""Pur"", ""Bag"", ""Hand"", ""Wal""]",Pur,http://images.cocodataset.org/train2014/COCO_train2014_000000131074.jpg
other,What is the man doing?,Answer:,Answer with one word: What is the man doing? What is the man doing? Answer:,skiing,"[""Ski"", ""Cross"", ""What"", ""Stand""]",Ski,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
other,What is the person wearing?,Answer:,Answer with one word: What is the person wearing? What is the person wearing? Answer:,skis,"[""Jack"", ""Ski"", ""Glo"", ""Hat""]",Jack,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
other,What is she holding?,Answer:,Answer with one word: What is she holding? What is she holding? Answer:,poles,"[""Ski"", ""Pol"", ""Cross"", ""What""]",Ski,http://images.cocodataset.org/train2014/COCO_train2014_000000393230.jpg
other,What is the dog riding on?,Answer:,Answer with one word: What is the dog riding on? What is the dog riding on? Answer:,surfboard,"[""Sur"", ""Board"", ""Dog"", ""What""]",Sur,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg
other,What is in the water?,Answer:,Answer with one word: What is in the water? What is in the water? Answer:,dog,"[""Sur"", ""Dog"", ""Board"", ""Bo""]",Sur,http://images.cocodataset.org/train2014/COCO_train2014_000000131087.jpg
other,"What does the green light, on the TV, indicate?",Answer:,"Answer with one word: What does the green light, on the TV, indicate? What does the green light, on the TV, indicate? Answer:",on,"[""Power"", ""What"", ""Green"", ""Screen""]",Power,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What room of the house is this?,Answer:,Answer with one word: What room of the house is this? What room of the house is this? Answer:,office,"[""Office"", ""Living"", ""Gar"", ""Bas""]",Office,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is the size of the TV?,Answer:,Answer with one word: What is the size of the TV? What is the size of the TV? Answer:,large,"[""Lar"", ""Small"", ""Med"", ""Big""]",Lar,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,How big is the TV?,Answer:,Answer with one word: How big is the TV? How big is the TV? Answer:,very big,"[""Lar"", ""Small"", ""Very"", ""Big""]",Lar,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What companion object to the TV can be seen in the bottom right of the picture?,Answer:,Answer with one word: What companion object to the TV can be seen in the bottom right of the picture? What companion object to the TV can be seen in the bottom right of the picture? Answer:,laptop,"[""Computer"", ""Rem"", ""Project"", ""Screen""]",Computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is the small computer on the left called?,Answer:,Answer with one word: What is the small computer on the left called? What is the small computer on the left called? Answer:,laptop,"[""Computer"", ""Screen"", ""Mon"", ""Key""]",Computer,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is above the TV?,Answer:,Answer with one word: What is above the TV? What is above the TV? Answer:,vent,"[""Project"", ""Screen"", ""Out"", ""Mon""]",Project,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is on the display?,Answer:,Answer with one word: What is on the display? What is on the display? Answer:,document,"[""Out"", ""Screen"", ""Power"", ""Computer""]",Out,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,Is it a monitor or a screen projection?,Answer:,Answer with one word: Is it a monitor or a screen projection? Is it a monitor or a screen projection? Answer:,screen projection,"[""Screen"", ""Pro"", ""Mon"", ""Project""]",Screen,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is on the TV screen?,Answer:,Answer with one word: What is on the TV screen? What is on the TV screen? Answer:,computer,"[""Out"", ""Power"", ""Computer"", ""Screen""]",Out,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is the title of the presentation in the picture?,Answer:,Answer with one word: What is the title of the presentation in the picture? What is the title of the presentation in the picture? Answer:,outlook web app,"[""Out"", ""What"", ""Power"", ""Microsoft""]",Out,http://images.cocodataset.org/train2014/COCO_train2014_000000131075.jpg
other,What is the man playing?,Answer:,Answer with one word: What is the man playing? What is the man playing? Answer:,wii,"[""Video"", ""Game"", ""What"", ""Controller""]",Video,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg
other,What does the man have on his face?,Answer:,Answer with one word: What does the man have on his face? What does the man have on his face? Answer:,glasses,"[""Must"", ""Nothing"", ""Head"", ""G""]",Must,http://images.cocodataset.org/train2014/COCO_train2014_000000524311.jpg
other,What is in front of the giraffes?,Answer:,Answer with one word: What is in front of the giraffes? What is in front of the giraffes? Answer:,tree,"[""Log"", ""Tree"", ""Tre"", ""Branch""]",Log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg
other,What do these giraffes have in common?,Answer:,Answer with one word: What do these giraffes have in common? What do these giraffes have in common? Answer:,eating,"[""They"", ""Long"", ""What"", ""Yes""]",They,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg
other,What is the giraffe standing behind?,Answer:,Answer with one word: What is the giraffe standing behind? What is the giraffe standing behind? Answer:,tree,"[""Log"", ""Tree"", ""Branch"", ""Tre""]",Log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg
other,What is on the ground next to the giraffe on the right?,Answer:,Answer with one word: What is on the ground next to the giraffe on the right? What is on the ground next to the giraffe on the right? Answer:,log,"[""Log"", ""Tree"", ""Branch"", ""Hay""]",Log,http://images.cocodataset.org/train2014/COCO_train2014_000000000025.jpg
other,How is the man sitting?,Answer:,Answer with one word: How is the man sitting? How is the man sitting? Answer:,cross legged,"[""Cross"", ""How"", ""Yes"", ""With""]",Cross,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg
other,"What does the word in the upper-left corner, behind the window, translate to in English?",Answer:,"Answer with one word: What does the word in the upper-left corner, behind the window, translate to in English? What does the word in the upper-left corner, behind the window, translate to in English? Answer:",automatic,"[""Autom"", ""What"", ""Auto"", ""Store""]",Autom,http://images.cocodataset.org/train2014/COCO_train2014_000000524314.jpg
other,What type of watercraft is that?,Answer:,Answer with one word: What type of watercraft is that? What type of watercraft is that? Answer:,raft,"[""Motor"", ""Speed"", ""Jet"", ""What""]",Motor,http://images.cocodataset.org/train2014/COCO_train2014_000000262171.jpg
other,What is the vase sitting on?,Answer:,Answer with one word: What is the vase sitting on? What is the vase sitting on? Answer:,railing,"[""Wall"", ""Table"", ""Por"", ""Window""]",Wall,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg
other,Is the sun to the right or left of this flower?,Answer:,Answer with one word: Is the sun to the right or left of this flower? Is the sun to the right or left of this flower? Answer:,left,"[""Left"", ""Right"", ""Yes"", ""Sun""]",Left,http://images.cocodataset.org/train2014/COCO_train2014_000000000030.jpg
other,What is the zebra eating?,Answer:,Answer with one word: What is the zebra eating? What is the zebra eating? Answer:,grass,"[""Tree"", ""Branch"", ""Nothing"", ""Hay""]",Tree,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg
other,What is the tree covered with?,Answer:,Answer with one word: What is the tree covered with? What is the tree covered with? Answer:,wire,"[""Branch"", ""Le"", ""M"", ""B""]",Branch,http://images.cocodataset.org/train2014/COCO_train2014_000000240304.jpg
other,What is the animal eating?,Answer:,Answer with one word: What is the animal eating? What is the animal eating? Answer:,grass,"[""Plant"", ""Veg"", ""Green"", ""What""]",Plant,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg
other,How old is animal?,Answer:,Answer with one word: How old is animal? How old is animal? Answer:,10 years,"[""Young"", ""Old"", ""New"", ""How""]",Young,http://images.cocodataset.org/train2014/COCO_train2014_000000000034.jpg
other,What is the man holding?,Answer:,Answer with one word: What is the man holding? What is the man holding? Answer:,knife,"[""Hat"", ""Phone"", ""Cand"", ""What""]",Hat,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg
other,What is the man cutting?,Answer:,Answer with one word: What is the man cutting? What is the man cutting? Answer:,cake,"[""Pie"", ""What"", ""Cand"", ""Cup""]",Pie,http://images.cocodataset.org/train2014/COCO_train2014_000000393251.jpg
other,What is the fruit?,Answer:,Answer with one word: What is the fruit? What is the fruit? Answer:,banana,"[""Ban"", ""What"", ""Apple"", ""ban""]",Ban,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg
other,What is the name of the type of person that would make this food?,Answer:,Answer with one word: What is the name of the type of person that would make this food? What is the name of the type of person that would make this food? Answer:,chef,"[""Che"", ""Baker"", ""Cook"", ""Pas""]",Che,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg
other,What type of ice cream is on the plate?,Answer:,Answer with one word: What type of ice cream is on the plate? What type of ice cream is on the plate? Answer:,vanilla,"[""Van"", ""Car"", ""Ban"", ""But""]",Van,http://images.cocodataset.org/train2014/COCO_train2014_000000262180.jpg
other,Is this an indoor or outdoor photo?,Answer:,Answer with one word: Is this an indoor or outdoor photo? Is this an indoor or outdoor photo? Answer:,outdoor,"[""Out"", ""Ind"", ""out"", ""Yes""]",Out,http://images.cocodataset.org/train2014/COCO_train2014_000000524325.jpg
other,What's missing from this hot dog?,Answer:,Answer with one word: What's missing from this hot dog? What's missing from this hot dog? Answer:,mustard,"[""Must"", ""Bun"", ""Sau"", ""Rel""]",Must,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg
other,What is the hog dog sitting on?,Answer:,Answer with one word: What is the hog dog sitting on? What is the hog dog sitting on? Answer:,bun,"[""Bun"", ""Nap"", ""Hot"", ""Table""]",Bun,http://images.cocodataset.org/train2014/COCO_train2014_000000043697.jpg
other,What is the sky full of?,Answer:,Answer with one word: What is the sky full of? What is the sky full of? Answer:,clouds,"[""Cloud"", ""Water"", ""Rain"", ""Nothing""]",Cloud,http://images.cocodataset.org/train2014/COCO_train2014_000000262184.jpg
other,What is the color of the carpet?,Answer:,Answer with one word: What is the color of the carpet? What is the color of the carpet? Answer:,brown,"[""Blue"", ""Brown"", ""Red"", ""White""]",Blue,http://images.cocodataset.org/train2014/COCO_train2014_000000131113.jpg
other,What shape are the windows on the side of the plane?,Answer:,Answer with one word: What shape are the windows on the side of the plane? What shape are the windows on the side of the plane? Answer:,square,"[""Rect"", ""Square"", ""Round"", ""Tri""]",Rect,http://images.cocodataset.org/train2014/COCO_train2014_000000262187.jpg
other,What is the website on the sign?,Answer:,Answer with one word: What is the website on the sign? What is the website on the sign? Answer:,wmatacom,"[""Wat"", ""www"", ""What"", ""W""]",Wat,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg
other,What is the bear called?,Answer:,Answer with one word: What is the bear called? What is the bear called? Answer:,teddy,"[""Ted"", ""Bear"", ""What"", ""Brown""]",Ted,http://images.cocodataset.org/train2014/COCO_train2014_000000262191.jpg
other,What type of tree is the man standing next to?,Answer:,Answer with one word: What type of tree is the man standing next to? What type of tree is the man standing next to? Answer:,elm,"[""Oak"", ""Map"", ""Dec"", ""Bir""]",Oak,http://images.cocodataset.org/train2014/COCO_train2014_000000524338.jpg
other,What pattern is on the pants?,Answer:,Answer with one word: What pattern is on the pants? What pattern is on the pants? Answer:,stripes,"[""Sol"", ""Check"", ""Vert"", ""Diam""]",Sol,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg
other,What sport is this person playing?,Answer:,Answer with one word: What sport is this person playing? What sport is this person playing? Answer:,baseball,"[""Baseball"", ""What"", ""baseball"", ""Base""]",Baseball,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg
other,What is the position of the player behind the batter called?,Answer:,Answer with one word: What is the position of the player behind the batter called? What is the position of the player behind the batter called? Answer:,catcher,"[""What"", ""First"", ""Player"", ""catch""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000213863.jpg
other,What are they drinking?,Answer:,Answer with one word: What are they drinking? What are they drinking? Answer:,beer,"[""What"", ""Water"", ""They"", ""Be""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg
other,What brand of beer is visible?,Answer:,Answer with one word: What brand of beer is visible? What brand of beer is visible? Answer:,sierra nevada,"[""Bud"", ""What"", ""Cor"", ""Miller""]",Bud,http://images.cocodataset.org/train2014/COCO_train2014_000000393268.jpg
other,What logo is on the man's shirt?,Answer:,Answer with one word: What logo is on the man's shirt? What logo is on the man's shirt? Answer:,nike,"[""Live"", ""Liv"", ""What"", ""N""]",Live,http://images.cocodataset.org/train2014/COCO_train2014_000000131127.jpg
other,What direction is the bird looking?,Answer:,Answer with one word: What direction is the bird looking? What direction is the bird looking? Answer:,right,"[""Right"", ""Left"", ""Down"", ""North""]",Right,http://images.cocodataset.org/train2014/COCO_train2014_000000262201.jpg
other,What time of day is it?,Answer:,Answer with one word: What time of day is it? What time of day is it? Answer:,morning,"[""Day"", ""Mor"", ""Even"", ""What""]",Day,http://images.cocodataset.org/train2014/COCO_train2014_000000370986.jpg
other,What type of plane is this?,Answer:,Answer with one word: What type of plane is this? What type of plane is this? Answer:,propeller,"[""Prop"", ""Small"", ""Single"", ""Private""]",Prop,http://images.cocodataset.org/train2014/COCO_train2014_000000131133.jpg
other,What is in the picture?,Answer:,Answer with one word: What is in the picture? What is in the picture? Answer:,clock,"[""Car"", ""Tree"", ""Street"", ""Park""]",Car,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg
other,What time is the clock showing?,Answer:,Answer with one word: What time is the clock showing? What time is the clock showing? Answer:,6:10,"[""What"", ""what"", ""Time"", """"]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000000064.jpg
other,What are the vases sitting on?,Answer:,Answer with one word: What are the vases sitting on? What are the vases sitting on? Answer:,table,"[""Table"", ""Cab"", ""Des"", ""Night""]",Table,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg
other,What is the table made of?,Answer:,Answer with one word: What is the table made of? What is the table made of? Answer:,wood,"[""Wood"", ""Mar"", ""Metal"", ""Brown""]",Wood,http://images.cocodataset.org/train2014/COCO_train2014_000000458763.jpg
other,What is the green stuff on this pizza?,Answer:,Answer with one word: What is the green stuff on this pizza? What is the green stuff on this pizza? Answer:,spinach,"[""Bro"", ""Par"", ""Bas"", ""Green""]",Bro,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg
other,Is it thick or thin crust?,Answer:,Answer with one word: Is it thick or thin crust? Is it thick or thin crust? Answer:,thick,"[""Yes"", ""thin"", ""Th"", ""Is""]",Yes,http://images.cocodataset.org/train2014/COCO_train2014_000000567990.jpg
other,What is the orange thing?,Answer:,Answer with one word: What is the orange thing? What is the orange thing? Answer:,bag,"[""Ban"", ""Orange"", ""Bal"", ""Ball""]",Ban,http://images.cocodataset.org/train2014/COCO_train2014_000000393286.jpg
other,Is this train headed towards or from the orange building?,Answer:,Answer with one word: Is this train headed towards or from the orange building? Is this train headed towards or from the orange building? Answer:,from,"[""Tow"", ""From"", ""Head"", ""Yes""]",Tow,http://images.cocodataset.org/train2014/COCO_train2014_000000000071.jpg
other,What is the giraffe eating?,Answer:,Answer with one word: What is the giraffe eating? What is the giraffe eating? Answer:,leaves,"[""Tree"", ""Branch"", ""What"", ""Le""]",Tree,http://images.cocodataset.org/train2014/COCO_train2014_000000000072.jpg
other,What is on the woman's neck?,Answer:,Answer with one word: What is on the woman's neck? What is on the woman's neck? Answer:,necklace,"[""Col"", ""Pear"", ""Jew"", ""Ne""]",Col,http://images.cocodataset.org/train2014/COCO_train2014_000000393290.jpg
other,What item is folded up and sitting on the edge of the shower stall?,Answer:,Answer with one word: What item is folded up and sitting on the edge of the shower stall? What item is folded up and sitting on the edge of the shower stall? Answer:,towel,"[""Tow"", ""Rob"", ""Mat"", ""Cur""]",Tow,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg
other,What pattern is on the shower curtain?,Answer:,Answer with one word: What pattern is on the shower curtain? What pattern is on the shower curtain? Answer:,solid,"[""Sol"", ""None"", ""Diam"", ""Check""]",Sol,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg
other,What are the colors of the countertop?,Answer:,Answer with one word: What are the colors of the countertop? What are the colors of the countertop? Answer:,brown,"[""Brown"", ""White"", ""Tan"", ""Black""]",Brown,http://images.cocodataset.org/train2014/COCO_train2014_000000393291.jpg
other,What is the person on the right called?,Answer:,Answer with one word: What is the person on the right called? What is the person on the right called? Answer:,referee,"[""Ref"", ""Ann"", ""Chair"", ""Judge""]",Ref,http://images.cocodataset.org/train2014/COCO_train2014_000000262221.jpg
other,What time does the clock say?,Answer:,Answer with one word: What time does the clock say? What time does the clock say? Answer:,8:00,"[""What"", ""what"", ""Time"", """"]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000000078.jpg
other,What is the last letter over the plane?,Answer:,Answer with one word: What is the last letter over the plane? What is the last letter over the plane? Answer:,e,"[""What"", ""A"", ""E"", ""N""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000000081.jpg
other,What is the number on the mailbox?,Answer:,Answer with one word: What is the number on the mailbox? What is the number on the mailbox? Answer:,24,"[""What"", ""Yes"", ""Number"", """"]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000000086.jpg
other,What are the animals doing?,Answer:,Answer with one word: What are the animals doing? What are the animals doing? Answer:,grazing,"[""Gra"", ""They"", ""What"", ""Looking""]",Gra,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg
other,What breed of livestock is shown?,Answer:,Answer with one word: What breed of livestock is shown? What breed of livestock is shown? Answer:,sheep,"[""She"", ""What"", ""Lamb"", ""Ram""]",She,http://images.cocodataset.org/train2014/COCO_train2014_000000524375.jpg
other,What language is the sign written in?,Answer:,Answer with one word: What language is the sign written in? What language is the sign written in? Answer:,spanish,"[""English"", ""Arab"", ""Turkish"", ""German""]",English,http://images.cocodataset.org/train2014/COCO_train2014_000000131160.jpg
other,How has the cheese been prepared?,Answer:,Answer with one word: How has the cheese been prepared? How has the cheese been prepared? Answer:,melted,"[""How"", ""Mel"", ""Yes"", ""M""]",How,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the cutting board used for in this scene?,Answer:,Answer with one word: What is the cutting board used for in this scene? What is the cutting board used for in this scene? Answer:,plate,"[""What"", ""Ser"", ""Hold"", ""Yes""]",What,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,Of what meal is this kind of food typical?,Answer:,Answer with one word: Of what meal is this kind of food typical? Of what meal is this kind of food typical? Answer:,lunch,"[""Break"", ""Even"", ""L"", ""D""]",Break,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What type of food is shown?,Answer:,Answer with one word: What type of food is shown? What type of food is shown? Answer:,hot dog,"[""Hot"", ""Sand"", ""Veg"", ""American""]",Hot,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the topping on the hot dog?,Answer:,Answer with one word: What is the topping on the hot dog? What is the topping on the hot dog? Answer:,peppers,"[""Sau"", ""Rel"", ""Must"", ""Car""]",Sau,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What topping is on the hot dog?,Answer:,Answer with one word: What topping is on the hot dog? What topping is on the hot dog? Answer:,onions,"[""Sau"", ""Rel"", ""Must"", ""Car""]",Sau,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is in the small container?,Answer:,Answer with one word: What is in the small container? What is in the small container? Answer:,butter,"[""But"", ""May"", ""Sau"", ""Must""]",But,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What are the components of this dish?,Answer:,Answer with one word: What are the components of this dish? What are the components of this dish? Answer:,butter,"[""Hot"", ""Bun"", ""Car"", ""What""]",Hot,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,How delicious does this look?,Answer:,Answer with one word: How delicious does this look? How delicious does this look? Answer:,very,"[""Very"", ""Del"", ""Ext"", ""Not""]",Very,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What two vegetables are in the white bowl?,Answer:,Answer with one word: What two vegetables are in the white bowl? What two vegetables are in the white bowl? Answer:,none,"[""Car"", ""Pot"", ""But"", ""Par""]",Car,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What type of filling is in the dish on the bottom left?,Answer:,Answer with one word: What type of filling is in the dish on the bottom left? What type of filling is in the dish on the bottom left? Answer:,mayonnaise,"[""But"", ""May"", ""Pot"", ""Che""]",But,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the yellow stuff in a bowl?,Answer:,Answer with one word: What is the yellow stuff in a bowl? What is the yellow stuff in a bowl? Answer:,butter,"[""May"", ""But"", ""Must"", ""Sau""]",May,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the hot dog sitting on top of?,Answer:,Answer with one word: What is the hot dog sitting on top of? What is the hot dog sitting on top of? Answer:,bun,"[""Bun"", ""Hot"", ""Sau"", ""Sand""]",Bun,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What are the orange things?,Answer:,Answer with one word: What are the orange things? What are the orange things? Answer:,sweet potato fries,"[""Car"", ""Pot"", ""Par"", ""Hot""]",Car,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,Are the carrots diced or cut long ways?,Answer:,Answer with one word: Are the carrots diced or cut long ways? Are the carrots diced or cut long ways? Answer:,long ways,"[""Long"", ""Are"", ""Car"", ""Yes""]",Long,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is in the cup?,Answer:,Answer with one word: What is in the cup? What is in the cup? Answer:,mayo,"[""But"", ""May"", ""Sau"", ""Must""]",But,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the orange root called?,Answer:,Answer with one word: What is the orange root called? What is the orange root called? Answer:,sweet potato,"[""Car"", ""Par"", ""Pot"", ""What""]",Car,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is the blackened meat on the bread?,Answer:,Answer with one word: What is the blackened meat on the bread? What is the blackened meat on the bread? Answer:,hot dog,"[""Hot"", ""Bur"", ""Ste"", ""S""]",Hot,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is on the sandwich?,Answer:,Answer with one word: What is on the sandwich? What is on the sandwich? Answer:,hot dog,"[""Sau"", ""Hot"", ""Rel"", ""Must""]",Sau,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What animal is on the plate?,Answer:,Answer with one word: What animal is on the plate? What animal is on the plate? Answer:,pig,"[""Dog"", ""Hot"", ""Hor"", ""Bun""]",Dog,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
other,What is on the hotdog?,Answer:,Answer with one word: What is on the hotdog? What is on the hotdog? Answer:,onions,"[""Sau"", ""Must"", ""Rel"", ""Bun""]",Sau,http://images.cocodataset.org/train2014/COCO_train2014_000000524377.jpg
